Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed
a363f61ca83	21	14	12	2	1	0	0
1b81ea82767	22	4	2	2	1	0	0
52795f8fcc2	21	38	34	4	1	0	0
6a90a060023	0	1037	535	502	3	0	0
28ae70ebad8	23	35920	23901	12019	752	253	85
293f036bd4f	22	6	4	2	0	0	0
54206e32a6c	21	8	1	7	1	0	0
ea69dd7584a	19	4	2	2	1	0	0
69080f54743	19	7	6	1	1	0	0
b9283cf9d17	17	187	167	20	3	1	0
fe2e8a4a24c	0	28	26	2	1	0	0
35443862a23	23	204	160	44	8	0	0
6c8593d4568	22	34	22	12	2	0	0
226c98649df	22	20	20	0	1	0	0
b259f245f87	22	2	1	1	0	0	0
c77fd4a03ef	20	17	8	9	1	0	0
3859fbdb7df	1	10	7	3	1	0	0
2afa3d8a03f	1	8	7	1	1	0	0
d601c76f4d7	20	306	299	7	10	4	0
c1f4aacc75c	21	12	6	6	0	0	0
641cea09269	20	15	12	3	1	0	0
2b7c8a2f02c	18	12	10	2	3	0	0
8e4fc88c797	0	4	2	2	1	0	0
fd896d5acfe	21	171	170	1	1	0	0
9fad8958df6	21	28323	15783	12540	579	150	42
902090af537	21	171	170	1	1	0	0
edadbd6819d	21	28323	15783	12540	579	150	42
f773fb41cc2	21	5	5	0	1	0	0
84952da2419	23	4	2	2	1	0	0
0fe0d121551	22	23	21	2	1	0	0
daca803e9e3	22	31166	21095	10071	496	124	47
adf2cfd54da	22	4	2	2	1	0	0
7fabdc23d84	15	25	23	2	1	0	0
6a11bfe74bc	15	2662	1999	663	178	24	3
92598e8f2b5	19	4	2	2	1	0	0
53b4accb6e5	20	9	8	1	1	0	0
8fd350e3575	18	4	2	2	1	0	0
643a21c0976	18	2	1	1	1	0	0
4f2b08c523c	18	6	3	3	2	0	0
0c766cbdfe2	17	9	7	2	1	0	0
bc0ff830aff	17	44	42	2	1	0	0
71698798796	16	135	125	10	9	1	0
1223cafea64	16	9386	6801	2585	419	61	6
e22ea56647b	0	2	1	1	0	0	0
d5edd687944	15	4	2	2	1	0	0
361aa5344d6	21	4	2	2	1	0	0
f6ba61bd154	15	6	0	6	1	0	0
a69205346b0	19	4	2	2	0	0	0
eeb08ca496c	18	22	20	2	1	0	0
1cb6f1a46ad	17	4	2	2	1	0	0
ce82d6b8474	17	36	34	2	1	0	0
e9170cbc3d3	22	46	28	18	1	0	0
f051f317905	22	6657	4182	2475	351	49	3
535c7777ac6	0	226	158	68	10	1	0
f82652e68ee	17	27	18	9	12	0	0
650d1355a58	16	5447	3320	2127	212	2	0
15f0e0a5967	0	235	166	69	11	1	0
654267609b5	0	12	4	8	1	0	0
1bbb3cc00d2	19	4	2	2	1	0	0
58cc3622516	21	24	8	16	1	0	0
41d8e10f0d7	17	13	12	1	1	0	0
