Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed
d75de86e6d8	2	6	6	0	0	0	0
90fb81ad540	1	600	361	239	102	8	1
dd8018de956	19	4	2	2	1	0	0
9a059ea69e1	0	56	44	12	4	0	0
56f65e3c3e1	16	497	399	98	109	19	0
2255efa171e	0	232	122	110	95	0	0
bb9316da28f	2	1767	1049	718	158	21	7
f490934c33b	19	22	17	5	1	0	0
93188918ea7	22	334	177	157	6	0	0
580e67015c4	1	37	37	0	2	1	0
cf20b6bf65b	23	85	78	7	7	1	0
db273818f6c	2	16	8	8	3	0	0
ffc81106598	19	21	20	1	1	0	0
1ad30a2af49	23	196	99	97	95	0	0
0f6d3e22d9e	20	1	0	1	0	0	1
d5f401147ac	18	1	1	0	0	1	0
61764613d1b	0	1706	731	975	252	0	27
e85a95dfa34	17	23754	23739	15	218	217	1
3ab15cde251	0	8492	1667	6825	132	15	104
0ba78d5f362	21	89	86	3	2	0	0
e543b0e95e7	22	11	10	1	1	0	0
975f1930b1c	22	11	10	1	1	0	0
06190928c0c	23	10	5	5	1	0	0
4c5751ba977	19	148	146	2	2	1	0
2d02e6a9920	17	34	25	9	3	0	0
caf70f5e941	15	145	104	41	3	0	0
b70fed48a7f	1	143	40	103	3	0	0
e6f147141e4	16	86	83	3	1	0	0
59a5262041d	23	53	53	0	3	2	0
4f91b72dbe4	18	3	2	1	1	0	0
ff942c6b39d	18	3	2	1	1	0	0
c828ded0c2b	18	2	1	1	1	0	0
74c02066fe0	2	64	64	0	1	1	0
e06ce7562ca	17	23	16	7	4	0	0
b3af074a025	16	7	4	3	1	0	0
98990b97798	16	23	20	3	3	0	0
dc8f4eed53b	17	54	54	0	1	0	0
190abcac9de	0	23	15	8	1	0	0
8b6277a4602	0	6	5	1	4	0	0
ef523e5719f	5	6	3	3	1	0	0
ef27d56cc12	15	29	0	29	1	0	0
6b6f2b1d2ca	15	29	0	29	1	0	0
b4712bf1ac2	20	10	8	2	1	0	0
711a356468d	20	10	8	2	1	0	0
f90264d2462	6	50	35	15	1	0	0
d104bfd5a6d	6	32	19	13	3	0	0
5b8e1dabbc1	23	17622	17615	7	44	45	0
ac4791393ed	22	9	7	2	2	0	0
3210809d0ac	22	9	7	2	2	0	0
ef35f4d6c1b	0	64	64	0	1	1	0
703a1ffe52b	18	120	4	116	10	0	5
c050d0fa19a	1	11	5	6	3	0	0
bf0802402d5	0	5	3	2	1	0	0
588d885e81d	0	14	14	0	2	0	0
ddfc6b78cc1	18	13	11	2	2	0	0
dcecfc5f1b4	16	15	12	3	2	0	0
448eab2587d	22	6	4	2	2	0	0
7f0047c2d52	21	224	43	181	8	0	4
ebc4d5cd290	22	17	0	17	1	0	0
9b5098f509a	20	34	33	1	7	4	0
fc80ee947a6	0	45	45	0	1	0	0
87900b14da5	20	18	7	11	1	0	0
8475e1527dd	20	3	2	1	1	0	0
9967c369c92	17	121	117	4	10	5	0
794cb60f9e8	17	2	1	1	1	0	0
580ab7ba2c1	17	4	2	2	1	0	0
249361cab79	11	36	23	13	1	0	0
307f39ce9ed	20	71	64	7	2	0	0
7c6f0147dfa	18	70	44	26	1	0	0
a7ce79124e6	3	24	23	1	3	0	0
bbffd9e5025	16	4	2	2	1	0	0
8df6f9e5446	19	128	125	3	7	6	0
8fd1c68f062	2	100	100	0	1	1	0
0b3ecc05a68	19	37	27	10	2	0	0
