Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
511f80b3c8f	9	1	1	0	1	0	0	7
a9a252fda90	21	14	11	3	2	0	0	9
b1be5409bd8	3	13	13	0	2	0	0	13
72824d8d2da	15	1	1	0	1	0	0	11
54b409d6508	15	44	35	9	2	1	0	24
8ec31a3362d	17	2	1	1	1	0	0	40
0c91a835ff7	17	44	35	9	2	1	0	30
cf24f561a34	0	6	5	1	1	0	0	9
44574bc39b9	6	7	2	5	1	0	0	39
cafcc7e67a4	20	35	35	0	1	1	0	7
95d530f2b4f	20	2	1	1	1	0	0	26
bdb9d09aefb	20	2	1	1	1	0	0	30
58cb0fa639e	21	4	3	1	1	0	0	18
b8f3e18a5d3	18	4	4	0	1	0	0	10
a6a04fb1ec8	18	67	67	0	1	1	0	9
3524f41a271	18	56	56	0	1	0	0	9
2dbb470ea10	4	16	7	9	1	0	0	45
d4379fcee3b	18	14	9	5	3	0	0	12
ebefe77bc09	6	10	5	5	1	0	0	43
4fb2ac5be1e	19	13	13	0	1	0	0	5
b204006105e	2	6	5	1	2	0	0	12
3f987cd925d	21	4	3	1	1	0	0	15
ec11525d33f	21	3	3	0	1	0	0	6
855f46677c1	21	9	9	0	1	0	0	6
9ff86a2848c	22	4	4	0	1	0	0	29
f2ba4cef2af	22	3	3	0	1	0	0	9
5e1471c806a	23	4	4	0	1	0	0	7
d4ccdeaf00d	3	3	3	0	1	0	0	21
71e975669cd	19	16	2	14	1	0	0	7
a118f217288	0	16	15	1	2	0	0	7
07872870213	20	3	2	1	0	0	0	6
af4a96ce6ee	20	4	2	2	0	0	0	14
546870edd87	20	8	8	0	1	0	0	9
028043dd024	20	1	1	0	0	0	0	5
19133cac029	20	48	31	17	0	0	0	40
e60b18bbdf1	22	14	12	2	0	0	0	10
a84adad0785	22	1	1	0	1	0	0	5
3c68c85f182	2	6	6	0	1	0	0	7
3f1f2d14972	21	12	11	1	0	0	0	9
aa35564ca1c	19	6	2	4	1	0	0	18
ba0892ba910	21	4	2	2	0	0	0	23
1520c7bf5b4	20	4	3	1	0	0	0	49
39ce94276ae	20	6	3	3	1	0	0	34
07c886f9444	16	92	92	0	3	1	0	9
36761b20550	20	7	5	2	3	0	0	7
9701f1c4b27	18	2	2	0	1	0	0	9
109b16d4889	0	2	1	1	1	0	0	9
4f63f9f3278	0	5	5	0	1	0	0	29
659d449460d	0	5	4	1	1	0	0	25
b7ddd301817	0	6	3	3	1	0	0	10
6b5a34cdf30	0	3	1	2	1	0	0	20
f214758dd1e	1	20	11	9	1	0	0	48
f9da776b332	18	3	3	0	1	0	0	10
884a209ccfd	18	18	16	2	1	0	0	6
35043ad8ac7	23	7	4	3	1	0	0	7
dc752327bbd	22	47	35	12	1	0	0	21
928ea564d16	23	11	9	2	2	0	0	8
bea2e15864f	1	2	1	1	1	0	0	32
95fd517431c	15	6	3	3	1	0	0	10
11d88237916	0	87	87	0	3	1	0	40
7cb0f5f84a2	4	16	5	11	1	0	0	19
70e68893fe2	19	2	1	1	0	0	0	15
8517089b3e1	22	86	8	78	1	0	0	38
feaa8a41c75	7	58	56	2	3	1	0	37
aad12d0b265	22	1088	658	430	8	0	0	34
698e795a5ff	2	19	12	7	2	0	0	9
f41901cdf6e	19	97	96	1	5	1	0	30
e7065eaa934	0	4	2	2	1	0	0	7
228ddddc1ce	0	3	2	1	1	0	0	7
b187e96ec91	0	18	13	5	2	0	0	40
a33d1c959a4	0	66	66	0	1	1	0	9
208b2307440	1	29	22	7	5	0	0	43
48bbdde66ba	4	1	0	1	1	0	0	28
304f1fcf86f	20	5	3	2	2	0	0	34
0965d2d9f61	1	2	1	1	1	0	0	32
b6d6a54f805	23	1	1	0	1	0	0	8
aab7cb7dfed	19	16	8	8	1	0	0	4
ca8dea83a9e	19	2	1	1	1	0	0	22
8752ceef13a	20	8	8	0	1	0	0	9
8652c11031c	20	6	3	3	3	0	0	21
78eb174ea2d	21	39	31	8	2	0	0	17
70a5b53e03b	21	1	1	0	1	0	0	15
7b71fd0c68a	21	2	1	1	1	0	0	5
fdeeabba784	18	4	2	2	0	0	0	9
9b7a6c52382	18	2	1	1	0	0	0	9
86bd9b6e703	18	56	29	27	1	0	0	13
9c3559f0adc	18	117	104	13	2	1	0	54
c5d35aca338	18	12	6	6	1	0	0	8
327286dbcdd	18	8	3	5	1	0	0	14
e28eb6de30a	18	31	19	12	1	0	0	10
e621250116e	18	174	87	87	2	1	1	6
e16021340dd	20	2	1	1	1	0	0	8
0b5235e68c7	8	25	15	10	1	0	0	44
ef3a874f41b	8	6	5	1	1	0	0	26
6292df659f0	8	1	1	0	1	0	0	4
98b4596a46e	3	2	1	1	1	0	0	2
f405daa9226	3	10	10	0	2	0	0	24
248f552ab45	1	46	41	5	3	1	0	34
f1f5de1c8d2	23	18	16	2	1	0	0	7
f4403f90f84	1	2	1	1	1	0	0	9
b894521bd2e	20	7	3	4	2	0	0	13
38542f76a97	19	56	9	47	1	0	0	43
2b9967fbcc5	22	15	9	6	1	0	0	9
3f69c711579	22	5	5	0	1	0	0	10
a608f65b245	22	2	1	1	1	0	0	31
c69d7f1a6cb	7	1	1	0	0	0	0	32
6a8b5b36b45	22	547	537	10	6	6	0	13
c752f6c0138	0	1	1	0	1	1	0	11
05fe70b582c	0	11	10	1	1	0	0	9
032fc42e64f	23	6	2	4	1	0	0	26
9126dd2d903	18	5	4	1	2	0	0	30
8a9e8d60d2e	2	7	3	4	1	0	0	6
d3d83d7b909	2	51	51	0	2	1	0	14
713b9249e1e	22	11	2	9	2	0	0	45
9eddaebb79f	17	6	2	4	1	0	0	25
57f785151aa	7	2	1	1	1	0	0	20
3254caceefd	7	5	3	2	1	0	0	19
6bdd4d0205a	18	9	5	4	1	0	0	19
7a9db6cfb13	17	10	9	1	1	0	0	89
42aac41b939	19	16	16	0	0	0	0	32
bd10bf44181	19	4	3	1	0	0	0	6
eadc2ec5c8d	19	4	3	1	0	0	0	6
dc9ae01ef7a	19	2	1	1	0	0	0	17
8b11f29cf38	19	8	8	0	0	0	0	10
dc818135a57	22	54	28	26	0	0	0	11
cc6034ac862	18	8	8	0	1	0	0	35
093be8b16bb	20	2	1	1	1	0	0	12
64ac54a64d6	23	29	21	8	1	1	0	12
00fa8864b4b	21	66	0	66	1	0	2	19
f9df96b9508	1	8	4	4	1	0	0	8
be3a77bd428	18	1	0	1	1	0	0	52
f8fd9aca8bd	18	6	5	1	1	0	0	9
7142b260c6c	18	17	10	7	1	0	0	28
025f53c306d	20	145	128	17	2	1	0	22
0285dae26a8	20	56	50	6	2	1	0	24
2d0c1da975d	23	2	1	1	1	0	0	7
606a9339891	21	8	8	0	1	0	0	27
355c1484273	21	8	8	0	1	0	0	27
fb383a0ad08	22	15	13	2	2	0	0	8
a4ef01df07c	23	28	28	0	3	0	0	9
dba47aefa56	18	2	1	1	1	0	0	6
608898c15b9	18	8	8	0	0	0	0	23
1d52968d1db	19	4	2	2	1	0	0	18
4a2670740c0	1	7	7	0	2	0	0	9
0f2ed2bc2c1	18	71	71	0	2	1	0	13
f1722a280c0	5	5	5	0	2	0	0	10
3b7312d23af	18	6	5	1	2	0	0	11
f826b3269d6	23	13	13	0	1	0	0	8
59c166cfba3	1	30	18	12	1	0	0	13
7611c7cd258	18	6	1	5	1	0	0	12
07774e6b957	1	63	43	20	3	0	0	41
4eb5399bb28	20	14	13	1	3	0	0	21
b1e78cef097	23	30	15	15	2	0	0	61
cca15e8e33e	21	2	2	0	1	0	0	53
e95e095289c	22	14	7	7	2	0	0	69
3c91a7ae10f	22	200	103	97	2	0	0	50
5e4e87ade5a	20	18	18	0	4	0	0	4
837df70b757	19	34	33	1	2	1	0	43
4fa3fd1cc0e	0	2	1	1	0	0	0	35
b9167742559	1	16	11	5	0	0	0	16
bac537b186b	20	6	3	3	1	0	0	3
a9c4a20331d	22	46	44	2	2	0	0	29
1ba39226b22	18	4	3	1	1	0	0	12
4b61522f16d	19	80	80	0	3	3	0	7
50c88e0ff24	20	10	9	1	1	0	0	9
dd6432dcf03	20	1	1	0	1	0	0	17
4d809e297f9	20	1	1	0	1	0	0	17
da8b0eefde1	2	18	15	3	3	0	0	22
66280de133a	3	25	24	1	3	0	0	15
3288bc95323	22	2	1	1	1	0	0	6
598b5e4593b	2	2	1	1	1	0	0	8
085f9d636b2	20	17	17	0	2	0	0	7
55ea7ccf704	20	2	1	1	1	0	0	16
99b737bd60a	16	32	19	13	0	0	0	75
567c72b8c5f	3	6	3	3	2	0	0	6
48e159faf2f	2	8	1	7	1	0	0	17
ed5324687ef	18	2	1	1	1	0	0	7
