Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
704f394c667	7	1	1	0	1	0	0	9
bcc032e43aa	8	69	68	1	4	1	0	8
05d6da6c4af	9	70	51	19	2	0	0	2
fd0bebcdbc1	19	70	59	11	2	0	0	4
57ea07ac912	16	215	101	114	4	1	0	8
6ad18a27a0b	18	2	1	1	1	0	0	3
f990f24ad36	13	164	159	5	2	1	0	9
d6110fbd115	13	6	5	1	1	0	0	14
aee226b2434	1	64	39	25	2	0	0	14
3db613e31ac	2	16	16	0	1	0	0	2
d89de077582	17	45	42	3	2	0	0	35
b05daaaf69c	13	11	11	0	2	0	0	4
3f48276bf9e	9	41	24	17	1	0	0	12
e0d30b545a7	17	1698	849	849	22	11	11	6
70c3e661b8a	9	3	2	1	1	0	0	5
299671b731e	8	17	9	8	2	0	0	24
1af52d28ca3	2	10	5	5	1	0	0	10
e38eb0c5a4d	21	1084	543	541	55	1	1	11
c1aa8ea9440	23	8	1	7	1	0	0	3
83db91be415	23	6	0	6	4	0	2	5
7bfefb52502	23	46	0	46	1	0	0	5
0e1a5819160	23	50	0	50	1	0	0	5
a3604cf2336	23	5	0	5	1	0	0	5
d2c47b4f874	23	3	0	3	1	0	0	5
372a7c9a3ef	23	34	17	17	8	0	0	5
8da020d39e6	1	23	10	13	3	0	0	15
e190c9616ed	12	6777	3369	3408	33	32	1	2
c032350f64f	12	2584	2584	0	10	10	0	5
d4f1e6a0236	19	47	42	5	4	2	1	11
c9f656baa9d	20	119	38	81	4	1	2	7
a6f246b9f58	22	494	0	494	3	0	3	8
818e56d44bc	23	9	5	4	0	0	0	13
98e7d3506f0	17	90	38	52	1	0	0	13
17595b5343b	10	339	183	156	3	0	0	9
09e60aa435d	12	8	6	2	1	0	0	11
f9ad171085b	12	3	2	1	3	0	2	15
a6c3d7121b2	12	88	42	46	1	0	0	7
ade8cf96e0f	23	250	117	133	1	0	0	7
939fba40fd5	23	106	96	10	4	0	0	6
8d27393aa20	1	227	112	115	2	0	0	7
57de0b11db7	1	329	3	326	5	0	3	4
a1138c6f2ae	6	15	6	9	0	0	0	5
6e3d12f617f	17	52	50	2	3	0	0	6
704f394c667	7	1	1	0	1	0	0	9
bcc032e43aa	8	69	68	1	4	1	0	8
05d6da6c4af	9	70	51	19	2	0	0	2
fd0bebcdbc1	19	70	59	11	2	0	0	4
57ea07ac912	16	215	101	114	4	1	0	8
6ad18a27a0b	18	2	1	1	1	0	0	3
f990f24ad36	13	164	159	5	2	1	0	9
d6110fbd115	13	6	5	1	1	0	0	14
aee226b2434	1	64	39	25	2	0	0	14
3db613e31ac	2	16	16	0	1	0	0	2
d89de077582	17	45	42	3	2	0	0	35
b05daaaf69c	13	11	11	0	2	0	0	4
3f48276bf9e	9	41	24	17	1	0	0	12
e0d30b545a7	17	1698	849	849	22	11	11	6
70c3e661b8a	9	3	2	1	1	0	0	5
299671b731e	8	17	9	8	2	0	0	24
1af52d28ca3	2	10	5	5	1	0	0	10
e38eb0c5a4d	21	1084	543	541	55	1	1	11
c1aa8ea9440	23	8	1	7	1	0	0	3
83db91be415	23	6	0	6	4	0	2	5
7bfefb52502	23	46	0	46	1	0	0	5
0e1a5819160	23	50	0	50	1	0	0	5
a3604cf2336	23	5	0	5	1	0	0	5
d2c47b4f874	23	3	0	3	1	0	0	5
372a7c9a3ef	23	34	17	17	8	0	0	5
8da020d39e6	1	23	10	13	3	0	0	15
e190c9616ed	12	6777	3369	3408	33	32	1	2
c032350f64f	12	2584	2584	0	10	10	0	5
d4f1e6a0236	19	47	42	5	4	2	1	11
c9f656baa9d	20	119	38	81	4	1	2	7
a6f246b9f58	22	494	0	494	3	0	3	8
818e56d44bc	23	9	5	4	0	0	0	13
98e7d3506f0	17	90	38	52	1	0	0	13
17595b5343b	10	339	183	156	3	0	0	9
09e60aa435d	12	8	6	2	1	0	0	11
f9ad171085b	12	3	2	1	3	0	2	15
a6c3d7121b2	12	88	42	46	1	0	0	7
ade8cf96e0f	23	250	117	133	1	0	0	7
939fba40fd5	23	106	96	10	4	0	0	6
8d27393aa20	1	227	112	115	2	0	0	7
57de0b11db7	1	329	3	326	5	0	3	4
a1138c6f2ae	6	15	6	9	0	0	0	5
