Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
752da03eb03	21	34	20	14	0	0	0	18
6eb8bbc6400	22	2	2	0	0	0	0	12
3bb7ad6fea4	16	62	41	21	2	0	0	6
860fcf23f40	1	4	2	2	1	0	0	10
b57d946184e	0	161	161	0	4	1	0	9
20d5963fae3	2	149	149	0	3	1	0	7
5c602b750a6	1	475	358	117	2	0	0	16
374300ca8d1	17	31	21	10	3	0	0	9
67f7fe5e5c2	11	6	6	0	0	0	0	23
e07f5682308	0	1	1	0	1	0	0	6
fd3cd755d15	0	154	107	47	3	0	0	52
8d5e05668bf	21	97	97	0	2	1	0	18
758f12f34c2	23	205	201	4	3	2	0	22
cf909e8725f	16	22	18	4	1	0	0	10
50443f08e0f	15	10	10	0	2	0	0	7
78fac9b8637	15	10	10	0	2	0	0	7
899fffa395a	22	20400	12128	8272	64	33	30	117
e5a0fbe500f	14	16555	8309	8246	60	30	30	17
87077e03cce	21	7	5	2	0	0	0	9
752da03eb03	21	34	20	14	0	0	0	18
6eb8bbc6400	22	2	2	0	0	0	0	12
3bb7ad6fea4	16	62	41	21	2	0	0	6
860fcf23f40	1	4	2	2	1	0	0	10
b57d946184e	0	161	161	0	4	1	0	9
20d5963fae3	2	149	149	0	3	1	0	7
5c602b750a6	1	475	358	117	2	0	0	16
374300ca8d1	17	31	21	10	3	0	0	9
67f7fe5e5c2	11	6	6	0	0	0	0	23
e07f5682308	0	1	1	0	1	0	0	6
fd3cd755d15	0	154	107	47	3	0	0	52
8d5e05668bf	21	97	97	0	2	1	0	18
758f12f34c2	23	205	201	4	3	2	0	22
cf909e8725f	16	22	18	4	1	0	0	10
50443f08e0f	15	10	10	0	2	0	0	7
78fac9b8637	15	10	10	0	2	0	0	7
899fffa395a	22	20400	12128	8272	64	33	30	117
e5a0fbe500f	14	16555	8309	8246	60	30	30	17
