Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed
6e1e9e2fcb8	20	10	7	3	1	0	0
b3f91f15b24	21	30	1	29	2	0	0
1b3ebc32d7f	15	8	5	3	1	0	0
09ee29318f3	7	58	55	3	3	1	0
f0a440d886b	10	13	1	12	2	0	0
2b91256c618	9	60	59	1	2	1	0
9d717f6bef7	14	24	22	2	1	0	0
e7ac6d8fcd3	13	171	166	5	5	3	0
1fde5f51b4d	19	56	56	0	2	1	0
80711b0ff90	20	12	12	0	3	0	0
6c5b31bd80d	18	50	41	9	2	0	0
301f53c2aa9	21	37	19	18	3	0	0
bc8489580cb	14	52	50	2	3	1	0
9d4c5a12f49	10	30	28	2	2	0	0
0304f1fc220	9	2	2	0	2	0	0
66601f13d9f	14	20	19	1	2	1	0
2680522d3a7	12	3	2	1	1	0	0
06ac129903d	12	1	1	0	1	0	0
f423ec90fc6	12	35	35	0	2	1	0
e56ee67e13c	13	8	5	3	1	0	0
aabdd5d0456	13	6	3	3	1	0	0
29b0dc4ec87	13	20	19	1	2	1	0
91cc2d8c4bf	22	584	328	256	2	0	0
5a49f96505e	22	668	334	334	3	1	0
0263f014750	11	47	33	14	2	0	0
f39fdf26105	19	162	98	64	1	0	0
f5fbb707b2c	22	2	1	1	1	0	0
f61277ecb06	22	3	2	1	1	0	0
2e5dfafcb06	21	335	176	159	1	0	0
e27418ca3f1	22	28	25	3	2	1	0
3cd09e7ba55	7	43	43	0	1	1	0
9b8577230f4	18	27	27	0	2	2	0
44f8756aab6	14	25	20	5	3	0	0
f870240dcf3	18	27	27	0	2	2	0
ef54777fa59	14	25	20	5	3	0	0
3d3d00d5247	5	17	17	0	1	1	0
a2b9e02d83d	8	6	6	0	1	0	0
cf4b5fc52a5	5	17	17	0	1	1	0
c209e57e502	8	6	6	0	1	0	0
ffbbc465d3a	9	9	9	0	1	0	0
5f3906b65e3	17	45	40	5	2	1	0
987cbe35c60	10	28	13	15	1	0	0
55e964ec19e	10	4	3	1	1	0	0
c93e0aaf062	22	251	132	119	5	2	0
cbbf9e43d17	22	253	134	119	5	2	0
c46cbe0de46	18	210	99	111	5	2	0
f987ecf45be	2	12	12	0	1	0	0
ed5f1162fae	2	12	12	0	1	0	0
caba9c70c34	2	161	161	0	3	2	0
0a539865dd5	13	55	55	0	3	0	0
f8a3cf980f0	13	225	205	20	9	2	0
203561208e0	8	583	2	581	3	0	4
c143cba590c	23	85	62	23	4	1	0
f2212fa59d5	23	3	3	0	1	0	0
76f98c27de4	22	72	51	21	6	2	0
b544185bd88	20	3	2	1	1	0	0
1a9c9b0c555	20	195	194	1	4	4	0
39472709f0a	18	3	2	1	1	0	0
44dde5f24cf	18	47	32	15	19	0	0
9a9f08b1bc0	15	115	84	31	4	0	0
c47391526c1	14	2	1	1	1	0	0
dbf9e466bc2	19	40	39	1	2	0	0
a96b5c792e4	18	41	41	0	1	0	0
78c61000c20	18	7	7	0	1	0	0
145fac2b56a	18	12	10	2	1	0	0
0fcc94525a5	17	8	4	4	3	0	0
48562fa9389	21	25	23	2	2	0	0
b4fba5fe8ee	13	16	5	11	1	0	0
f6e00759eff	11	144	144	0	2	1	0
9415ca909ea	11	4	1	3	1	0	0
18a70ffda13	22	27	15	12	1	0	0
61785afb3d2	22	134	134	0	2	1	0
55ab9b4541b	15	13	11	2	2	0	0
490cac0d7e9	22	12	12	0	1	0	0
211e82e8d9b	10	8	8	0	1	0	0
6c94b8e4e4d	10	22	22	0	2	1	0
b02b54e0039	11	17	13	4	4	0	0
b73f61a1378	21	60	32	28	2	0	0
ac2abe5b1e5	16	18	15	3	2	0	0
c86c614cacf	22	14	10	4	2	0	0
a76c7a89ce7	12	11	8	3	3	0	0
b57d7d9b4e0	12	4	3	1	1	0	0
bfd31448617	21	92	79	13	3	0	0
f64371fccb6	20	75	69	6	3	1	0
d9dc2e0709a	20	2	1	1	1	0	0
f2274840a97	20	79	1	78	4	0	1
d9085ea0cb7	21	8	5	3	1	0	0
7d947f87230	21	86	53	33	1	0	0
f86c1783b73	21	19	16	3	2	0	0
aa73ed973ca	21	19	18	1	1	0	0
d9a81374b2e	21	47	38	9	2	0	0
5de04dafc6c	19	4	0	4	1	0	0
876b6d21832	18	10	8	2	2	0	0
f080de53808	17	20	18	2	2	1	0
530328f12b4	17	1818	1516	302	55	2	0
27fcae738a7	12	2	2	0	2	0	0
528c449901a	15	26	22	4	3	0	0
6e9e61b9dfa	10	2	1	1	1	0	0
2b252acea47	22	72	69	3	3	1	0
bb8f0725da0	11	8	7	1	1	0	0
bffee5eda44	17	24	23	1	2	1	0
7371fcb312b	17	24	24	0	2	1	0
1026ffea404	16	5	3	2	1	0	0
a021db151a6	16	2	1	1	1	0	0
43d651daef4	20	8	7	1	2	0	0
7069bee982c	23	52	26	26	2	0	0
8fd472b9a11	14	81	62	19	3	1	1
659954d842a	10	99	98	1	3	0	0
fd189c8a73a	17	23	23	0	1	0	0
0329468e739	20	2	1	1	1	0	0
f09d0cd93c3	15	35	35	0	1	0	0
0dbf2d77925	14	101	101	0	3	2	0
6219f2a2be0	15	16	2	14	1	0	0
abbc624f52d	19	53	41	12	4	1	0
3fd1cba0733	18	50	25	25	1	0	0
eeaa267cbe6	14	450	444	6	5	0	0
27c750154e6	14	213	213	0	2	2	0
be3dddeec9c	22	31	31	0	1	0	0
