Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
e0f10ecfd9a	6	221	212	9	3	2	0	7
a993d22c0f5	12	1	1	0	1	0	0	7
55c21970fd7	12	4	1	3	1	0	0	14
2156e5eca10	15	10	8	2	1	0	0	27
680d75af34f	9	4	3	1	1	0	0	6
58e5d69250d	10	4	3	1	1	0	0	8
491ec171ec6	11	2	1	1	1	0	0	8
c1fcb1db996	12	2	1	1	1	0	0	9
82ad1f87fa9	11	27	20	7	1	0	0	9
18acdff8d3e	16	3	2	1	1	0	0	7
b6595c4d60c	3	1	0	1	0	0	0	7
d6f0ecc622f	3	2	1	1	0	0	0	5
59c3923672d	12	73	71	2	3	2	0	7
d2fba2bf35e	2	2	1	1	1	0	0	7
534264d2091	14	12	7	5	1	0	0	9
891f9defeb9	1	1	0	1	1	0	0	7
e1199fa335e	2	2	1	1	1	0	0	3
2cf5f040a58	4	11	11	0	1	0	0	5
8727e5f2bec	6	53	53	0	1	1	0	7
75face6139b	6	2	1	1	1	0	0	5
45159870584	9	2	1	1	1	0	0	8
e7792e5d46d	5	86	86	0	1	1	0	5
b521ff3b4f8	4	2	2	0	1	0	0	6
238e12af221	8	1	1	0	1	0	0	6
26b6da134ff	8	4	2	2	2	0	0	10
0d131423324	7	87	76	11	4	1	0	8
94f1feeb598	0	73	72	1	3	1	0	7
cc8cfb145a2	10	8	4	4	1	0	0	7
f721d02c8a3	6	1	0	1	1	0	0	5
208d1715a78	10	6	3	3	1	0	0	6
4eb2804db9e	6	2	1	1	1	0	0	9
e3a2dd1b133	7	2	1	1	1	0	0	9
6d98524609d	0	6584	3174	3410	40	9	10	6
60ff789618b	1	37	11	26	0	0	0	7
e7e34ddb66f	5	22	20	2	1	0	0	20
76104f3414f	17	8	4	4	1	0	0	13
5b37da2ac0a	9	6	3	3	1	0	0	21
f347077e786	15	99	70	29	3	1	0	8
1bcf29ef333	2	3	3	0	1	0	0	11
a1ba29d110f	6	21	15	6	1	0	0	8
148f5e65123	5	5	3	2	0	0	0	33
f36bfd1590f	7	2	1	1	1	0	0	7
11a5119e72f	8	5	5	0	1	0	0	26
1c8a5269c5a	8	33	27	6	1	0	0	48
8bf0c15a5b2	1	57	57	0	2	1	0	8
829f96badad	16	7	3	4	1	0	0	19
2b6c561040c	16	1	0	1	1	0	0	15
9b363b022f2	1	53	52	1	2	1	0	15
1211946a8c8	2	4	2	2	1	0	0	14
cd372510bb5	2	103	78	25	2	0	0	19
401cef797df	2	7	4	3	1	0	0	6
ab7a3d098dd	16	9	9	0	2	0	0	32
2bb48673126	14	68	68	0	2	1	0	44
0dfedb7127a	9	179	178	1	10	5	0	43
f6877f37b21	7	22	13	9	2	0	0	21
33f74bbd900	23	50316	46491	3825	190	172	4	5
710845cfd36	5	15	13	2	1	0	0	30
bddea120268	5	9	4	5	0	0	0	6
