Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
6ded7fec5fb	15	138	73	65	3	1	0	1
4a5bab8ef62	15	11	6	5	0	0	0	5
7b7ceea4eca	16	164	51	113	2	1	0	2
b518ed9db20	16	9	7	2	2	0	0	3
74f4eb9a2e9	20	126	37	89	5	0	0	4
cc1a61c1e7b	16	70	47	23	4	0	0	2
096384ad584	16	4	4	0	1	1	0	1
90ea571602c	17	39	26	13	3	0	0	3
d945ba68a29	12	922	249	673	5	0	3	10
f6b541bc373	20	199	132	67	2	0	0	7
aa72b99917f	20	35	18	17	2	0	0	3
1a71a3c9d49	21	16	11	5	2	0	0	12
2ee65b8ea25	18	139	129	10	2	0	0	5
bd136fae40c	11	68	22	46	2	1	1	2
1afe6d26dbc	14	305	268	37	5	3	0	6
19478ed4b14	0	1791	969	822	9	6	3	31
f9374eeb778	1	103	77	26	2	0	0	7
f16e50d3871	1	152	81	71	1	0	0	5
a890b674061	18	707	438	269	4	2	0	6
e02b71ebe87	23	185	95	90	9	1	0	9
dbbd25ae65d	9	19	9	10	7	0	0	8
559c1987bef	9	2	2	0	1	0	0	4
9e5eff3b273	10	117	113	4	4	2	0	5
8b71ba5e683	10	24	22	2	3	1	0	37
ab248e8422b	11	16	15	1	3	1	0	2
02638103f79	18	359	359	0	2	2	0	6
4ea5ab63c14	18	24	22	2	1	0	0	2
93c7e88c879	12	443	307	136	4	0	0	6
e2d20fe2935	12	82	75	7	1	0	0	7
bc1ebdf5a57	13	101	62	39	2	0	0	3
db618cb7084	13	19	12	7	3	0	0	7
ea728d35ef4	13	30	28	2	2	0	0	7
16ef5029dee	17	44	44	0	2	0	0	14
b4985d1a6ed	18	484	354	130	6	0	0	6
64ac9efb3dd	16	201	63	138	4	0	1	8
5131e0a1ef7	0	176	108	68	1	0	0	3
e78917b3b05	13	26	8	18	1	0	0	5
a8ac42384d7	13	110	65	45	4	1	0	7
7b45c911ef0	16	41	33	8	2	0	0	23
5b08b827f9e	17	4	2	2	1	0	0	5
1e5de42a75e	11	79	31	48	5	0	0	8
adf18d84af4	8	4	2	2	2	0	0	19
55097bb572d	10	24	13	11	3	0	0	11
742b221e4bb	11	12	12	0	0	1	0	3
fd52fa7c16e	11	13	13	0	0	0	0	5
878ca395b37	11	4	4	0	0	0	0	5
2309196c34d	15	16	15	1	0	0	0	3
c5183738388	11	28836	28836	0	36	44	0	5
1a126ed11c1	12	3393	1829	1564	17	13	9	5
0e9e927fcb7	14	42	35	7	2	0	0	6
63a9cd38977	8	2263	1763	500	15	12	2	18
e8ce6ef790e	19	231	217	14	3	0	0	3
0ab4f5c276d	9	572	0	572	2	0	2	21
7e1350f6e44	9	170	145	25	2	1	0	2
844f923825c	11	95	0	95	2	0	3	4
86eab1f1310	11	8	5	3	1	0	0	7
470c6342ccb	11	118	53	65	2	0	0	9
c0b90ca763b	11	35	18	17	2	0	0	8
e303d950d9d	11	75	28	47	4	0	0	8
12d31dd0b72	18	362	216	146	5	1	0	4
c8e20fbf811	19	259	168	91	4	0	0	7
e5a6b07d6ae	19	27	0	27	0	0	1	3
dd691decd28	16	448	218	230	4	0	0	6
5207226da36	0	32	23	9	4	0	0	6
e7dd20dc6e2	8	64	64	0	4	2	0	4
e368571f462	12	19	5	14	0	0	0	8
102c6399ac3	12	82	41	41	1	0	0	4
67af958f812	13	1879	949	930	9	4	4	8
c2decd720f5	0	24	24	0	1	0	0	2
93f7f0dca01	0	301	161	140	5	0	0	21
64117d9c948	16	45	12	33	1	0	0	6
7baacb56a9a	16	2	2	0	1	0	0	8
f5b2a8f072a	16	189	0	189	8	0	8	4
ec9697b1ba4	11	21	14	7	0	0	0	3
408526a1c13	11	92	81	11	8	5	0	4
a0f2b8a0c5d	12	15	7	8	2	0	0	6
47fad676b44	13	90	37	53	4	0	0	11
5d57fa5060f	14	207	82	125	2	0	0	5
d105d886254	14	23	12	11	4	0	0	3
707f244291e	17	426	188	238	2	0	0	5
1542fc6a0bf	21	158	110	48	3	0	0	5
140a0328945	21	8	6	2	1	0	0	9
822d7fa27e1	8	164	134	30	3	0	0	10
5f902a61e1a	11	81	73	8	1	0	0	19
3095861199f	11	4	2	2	1	0	0	7
c986b99ddc6	12	8	4	4	1	0	0	9
48b4ac4a8d6	12	6	5	1	1	0	0	2
d996b59d9c0	13	49	36	13	3	0	0	3
63ec0454d25	13	51	49	2	2	1	0	6
f3f9a08de13	14	13	7	6	1	0	0	5
e6d96e8e666	14	101	51	50	2	1	1	4
7703ad5153d	15	54	44	10	3	0	0	8
a93cf503073	16	12	0	12	1	0	3	5
40c0f755c99	17	265302	265280	22	747	761	0	6
c62b1240826	17	44929	44921	8	177	177	0	10
8514e0627aa	23	13	7	6	1	0	0	4
0b1e3240be1	10	34	20	14	2	0	0	7
a4593e3ebd0	11	68	43	25	1	0	0	19
8a8e9df72e2	12	12	8	4	2	0	0	6
0ea7577a725	13	4	2	2	1	0	0	6
29b528c980a	15	49	28	21	0	0	0	10
f17ecf20bef	17	6	3	3	1	0	0	7
8e7bbf26e2b	17	13	11	2	0	0	0	4
90fc8d36220	20	1678	105	1573	20	0	7	32
cf1c58063e1	21	117	67	50	13	0	0	7
064c8f02520	23	173	72	101	4	0	0	8
f213a276572	9	300	139	161	6	2	2	16
0f5170339c0	9	82	15	67	6	0	2	19
cbd342a12db	12	158	89	69	3	0	0	43
fd392d0a50b	12	17	5	12	3	0	0	12
3886e183fd5	12	14	14	0	1	0	0	4
15d24d8002a	14	913	450	463	4	0	0	90
1713386580d	23	95	65	30	3	0	0	5
13062832d8f	23	33	17	16	2	0	0	6
bb6057d9ad1	23	26	13	13	3	0	0	4
5a071ad72fb	12	11232	7223	4009	29	5	19	13
be6b3acf0e7	19	227	211	16	5	1	0	13
4860f1c92cb	19	73	68	5	2	0	0	5
09c2ae5c3e8	10	128	67	61	5	0	0	60
38726e72726	13	175	99	76	5	0	0	9
6149c6c49a1	14	29	15	14	3	0	0	4
b763ee0ad45	14	33	21	12	1	0	0	5
9c3770d9999	15	119	100	19	5	0	0	17
2e5b85a13bc	15	28	14	14	4	0	0	20
30450388d61	10	1414	491	923	16	0	9	8
cfd61622ae1	16	175	134	41	7	0	0	56
ae7c6314cad	17	42	30	12	3	0	0	13
0bb12be6609	19	16	9	7	1	0	0	4
a80591aff67	12	327	201	126	3	0	0	57
9f2938b7134	13	18	9	9	1	0	0	6
62a14653323	17	54	43	11	1	0	0	4
103a8800c7b	10	147	98	49	2	0	0	8
ba179405519	14	187	119	68	5	0	0	3
