Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed
e21643d618a	15	2	1	1	1	0	0
6f8839d2ac3	11	28	16	12	2	0	0
884f689efec	9	6	6	0	1	0	0
41f2725639d	9	255	223	32	9	0	0
c2fb062f60a	22	4	2	2	1	0	0
539598b11f3	2	12	6	6	1	0	0
8b2abed03df	1	6	6	0	1	0	0
c24276f0087	18	13	10	3	2	0	0
3f5bb15f353	13	1	1	0	1	0	0
fa43f04f6a3	23	107	107	0	2	1	0
25ca13ec1a6	23	158	150	8	5	0	0
cdb5864fc32	22	4	2	2	1	0	0
dd0188ec088	16	368	182	186	8	0	0
6eeb59abf6b	14	755	8	747	3	0	1
809fdf26fbb	20	123	104	19	1	0	0
ca19e792c6f	20	18	18	0	2	0	0
ea97d6ed5ff	20	18	9	9	2	0	0
5866f1a9aa4	18	92	47	45	1	0	0
2df81c57f6e	17	25	8	17	3	0	0
eb6e60432b3	20	59	57	2	2	0	0
09dc5779314	16	116	102	14	3	1	0
b3d4938e3e0	15	12	12	0	1	0	0
66116924edb	19	796	793	3	4	1	0
356992fe4de	16	273	198	75	17	2	0
e9f8e284263	15	2	2	0	1	0	0
5427311ae68	0	5	5	0	1	0	0
9143b43e98c	23	107	107	0	2	1	0
2afd20b5425	23	158	150	8	5	0	0
59faab4330c	22	4	2	2	1	0	0
c481f97a9c1	16	368	182	186	8	0	0
469cb1b7b7f	14	755	8	747	3	0	1
d329fc7b098	20	123	104	19	1	0	0
3063ba08008	20	18	18	0	2	0	0
9d71e744910	20	18	9	9	2	0	0
3aadd4fe767	18	92	47	45	1	0	0
8a538ce372c	17	25	8	17	3	0	0
edbec3f8f3e	20	59	57	2	2	0	0
a778a25cabd	16	116	102	14	3	1	0
39e2c469db8	15	12	12	0	1	0	0
2a7a2ca986a	19	796	793	3	4	1	0
c3346f6760f	16	273	198	75	17	2	0
0d5a6b2d9d5	15	2	2	0	1	0	0
70e6f3f115c	22	1	1	0	1	0	0
0de6ec5f081	2	4	2	2	1	0	0
ed5bad754c1	2	3	2	1	1	0	0
b261e37a342	16	8	7	1	1	0	0
d8c178bc162	13	13	7	6	1	0	0
a82f5389d96	17	14	13	1	1	0	0
b24c515dbf2	19	129	96	33	10	0	0
7a7f1062bfe	14	1	0	1	1	0	0
