.cc	.js
1	1
9	3
2	2
1	1
1	1
2	1
18	1
2	2
1	1
1	1
2	1
14	1
1	1
35	5
1	1
13	1
1	1
9	2
80	14
1	1
1	2
3	3
160	106
1	1
1	1
1	2
1	1
1	1
1	4
1	1
1	1
1	1
1	1
2	2
1	2
5	2
141	51
1	2
9	1
99	46
1	5
1	1
1	3
100	46
1	2
1	1
1	2
1	1
1	1
1	6
1	1
1	6
9	1
1	3
1	3
141	49
1	3
1	1
1	8
2	4
2	4
3	7
133	41
1	1
133	41
2	4
1	1
1	1
1	5
4	1
1	1
1	2
1	1
1	4
1	1
1	1
1	1
1	2
102	20
1	3
1	1
1	1
33	1
1	2
1	1
1	2
70	97
1	2
1	2
1	2
1	1
1	1
1	1
1	2
38	9
22	4
1	1
1	4
14	11
1	1
1	1
68	19
1	1
1	2
1	2
1	1
1	2
46	13
1	1
1	1
1	1
1	1
50	19
1	1
1	1
1	1
1	2
1	5
2	1
2	5
1	8
1	2
5	1
1	1
1	1
1	1
1	1
1	2
1	1
58	13
1	1
3	2
1	1
1	2
78	19
1	1
1	1
1	1
1	1
253	229
1	2
246	227
1	1
1	1
59	16
1	6
245	218
1	2
11	10
2	2
1	4
1	4
1	1
1	1
1	2
1	1
1	1
1	2
1	1
1	8
1	1
4	1
1	2
1	2
1	1
1	1
1	1
1	3
1	6
1	1
1	2
1	2
1	3
1	1
1	2
2	3
1	3
2	2
1	1
1	1
1	1
1	1
1	1
9	1
1	1
1	3
1	4
8	2
5	1
1	2
8	2
34	318
1	1
8	1
51	11
1	2
36	5
1	1
1	1
64	15
2	2
82	53
1	1
1	1
1	3
2	3
62	14
1	2
1	1
1	3
2	2
1	1
43	12
1	1
1	2
17	6
67	6
1	1
1	1
56	5
2	3
1	1
3	1
1	1
40	1
1	2
2	1
3	1
1	1
103	33
1	1
1	1
1	1
1	2
1	2
1	1
1	1
1	1
1	1
1	1
1	2
1	1
1	1
1	2
8	3
35	7
67	29
42	12
43	14
1	2
1	2
1	1
1	1
1	1
119	110
1	3
1	2
1	1
40	3
1	2
32	2
1	2
4	8
80	8
1	3
2	2
1	1
1	3
1	1
1	1
1	1
1	1
2	2
1	1
49	6
1	1
1	1
1	1
1	1
1	1
49	6
1	1
1	1
1	1
32	9
1	1
66	4
1	1
1	2
1	1
1	1
1	1
40	3
1	1
34	14
1	1
1	2
1	3
1	53
1	1
1	4
1	1
1	1
1	2
1	2
1	1
78	16
1	1
1	1
1	2
1	1
42	8
42	8
1	3
1	4
1	1
1	1
2	3
30	11
1	4
1	2
1	1
1	2
1	1
1	1
1	1
1	2
1	2
1	1
1	1
1	1
1	1
1	2
96	19
1	1
1	1
1	2
62	26
31	16
2	1
31	16
1	1
26	6
1	5
1	2
6	1
1	1
1	3
1	1
29	8
1	3
1	1
1	1
1	1
2	1
11	3
1	2
1	2
37	3
21	5
1	3
1	6
1	1
55	7
39	17
22	17
1	4
1	4
11	25
1	1
1	2
5	4
27	9
1	2
42	5
1	2
1	1
6	1
1	2
31	4
1	1
1	1
1	2
1	8
17	3
1	2
2	2
1	1
33	3
45	8
1	1
1	2
2	2
1	3
1	3
43	5
1	1
32	6
1	1
98	19
1	1
1	3
1	3
1	3
1	4
1	1
1	3
1	1
1	2
1	1
2	1
1	1
1	2
1	2
50	7
1	5
42	21
1	2
1	4
1	1
2	5
25	7
1	3
1	5
24	9
1	2
5	2
54	16
1	2
1	2
1	2
1	2
2	5
1	1
1	1
1	1
76	24
1	1
1	1
1	2
1	3
2	3
1	1
1	1
2	5
1	2
2	1
1	2
1	1
8	3
2	1
1	1
1	3
1	3
1	2
1	1
7	3
7	3
22	1
88	15
1	2
1	1
40	5
1	2
1	7
1	2
1	19
1	1
1	1
1	2
33	10
2	21
1	1
1	1
1	1
1	1
1	2
2	5
1	1
1	1
5	1
2	5
48	14
1	4
1	1
1	1
92	31
1	4
1	1
1	1
1	1
1	3
18	6
1	2
1	1
1	1
1	2
1	1
1	1
1	1
1	2
96	37
1	2
1	1
1	14
2	15
1	1
2	2
1	1
1	1
94	32
1	1
1	1
1	1
1	1
5	1
3	1
1	3
1	1
2	1
54	20
3	1
1	1
1	1
1	3
1	1
1	3
1	2
1	1
1	1
1	2
54	12
1	2
1	2
1	1
1	2
1	2
2	1
2	1
2	1
2	1
3	1
1	1
53	12
53	12
2	2
1	2
1	3
50	13
1	1
1	2
3	2
14	1
1	1
1	1
1	3
1	1
107	27
1	1
2	2
1	2
1	1
1	4
1	4
1	1
1	2
1	2
1	53
29	2
69	13
1	2
55	29
1	4
2	1
1	2
1	1
1	2
5	1
58	14
2	1
1	4
1	1
1	1
1	2
1	18
1	1
22	10
2	7
30	2
1	1
2	1
1	6
2	2
1	6
46	10
3	1
1	1
1	1
1	1
53	6
1	1
1	1
1	1
3	8
7	13
27	1
2	2
2	2
3	4
1	5
45	10
1	7
10	3
1	2
1	1
1	1
22	2
1	1
59	15
4	1
1	1
1	1
1	2
56	39
1	3
1	1
1	1
3	1
1	5
1	1
5	14
53	21
4	2
2	9
2	1
2	6
4	10
1	1
3	2
1	1
1	1
1	4
51	15
1	1
2	1
1	1
1	2
1	2
1	1
1	13
124	42
1	5
1	1
1	2
1	2
3	1
2	3
1	1
1	2
1	1
1	2
2	3
1	1
1	1
1	2
1	2
2	1
1	4
1	4
1	1
1	2
1	1
2	2
5	1
1	1
3	1
2	1
2	3
4	1
2	1
1	2
2	1
2	1
132	44
1	1
2	2
1	1
2	1
1	1
2	1
2	2
3	1
1	1
1	1
2	1
2	2
3	1
6	1
1	1
143	384
1	1
1	1
1	6
1	4
1	3
2	1
1	3
1	2
2	2
2	2
1	1
1	1
1	1
2	1
5	3
2	1
2	1
2	1
2	1
4	1
1	1
5	1
2	2
1	1
1	1
1	1
1	1
2	1
1	1
2	1
2	1
1	1
1	1
1	4
1	4
1	1
6	8
1	25
1	2
1	3
1	1
1	1
1	1
1	5
1	1
468	487
2	4
5	2
4	5
559	604
1	1
1	1
1	4
1	2
1	3
1	1
1	2
1	1
29	7
1	2
4	1
2	1
1	3
2	2
2	2
1	2
1	1
1	4
1	1
1	1
1	4
1	1
1	1
1	2
1	5
1	2
1	2
1	1
320	153
1	1
2	1
3	1
1	1
77	373
1	1
1	2
1	1
1	1
1	1
1	1
1	1
1	3
1	1
1	2
1	4
3	4
1	2
1	2
1	2
16	5
2	1
216	234
18	6
1	1
1	14
1	1
1	1
133	63
27	2
293	570
1	2
1	2
1	2
2	3
1	1
2	3
1	1
2	3
1	1
1	3
2	1
1	2
1	3
1	2
1	1
1	1
1	2
2	2
2	4
1	1
1	1
2	3
23	6
1	2
1	2
4	1
4	5
1	2
1	2
1	1
2	6
2	1
1	2
1	1
1	4
8	5
3	2
1	1
1	2
1	1
1	2
1	1
1	1
1	1
18	4
1	1
1	2
213	93
1	1
1	5
3	7
1	1
3	4
11	7
1	1
1	1
1	2
1	2
1	2
1	2
1	3
1	1
223	67
1	1
1	1
1	1
1	5
1	2
1	2
1	2
1	1
11	4
11	3
1	3
11	3
1	1
27	10
1	1
1	1
1	2
1	2
23	1
1	1
1	2
1	2
1	1
1	1
1	1
1	10
1	1
1	1
1	3
55	23
1	1
1	3
3	24
2	1
1	1
1	1
1	3
1	1
1	1
101	38
1	1
1	1
2	2
1	1
1	2
1	1
2	2
1	1
1	2
1	1
1	1
2	1
48	73
1	3
93	89
1	2
