.c	.h
7	2
2	3
5	3
2	3
5	3
4	6
1	1
15	2
22	9
104	23
2	2
22	4
2	1
4	1
2	1
3	1
11	6
6	1
1	2
9	1
4	2
5	2
12	1
4	1
9	2
3	1
10	4
5	4
2	1
11	7
5	2
3	2
5	3
13	3
2	1
12	7
5	4
4	1
12	4
4	2
2	1
6	3
25	8
22	7
58	28
13	3
8	1
14	7
3	2
4	1
3	3
3	1
5	3
37	2
6	3
4	2
3	2
2	1
11	6
4	2
7	4
2	1
3	1
6	4
12	3
4	2
2	1
4	2
10	2
86	55
1	1
156	9
9	7
2	1
2	1
32	8
18	7
85	13
834	241
3	1
7	2
19	18
5	3
2	1
5	4
1	3
158	9
6	6
2	1
2	2
1	1
3	3
10	5
6	2
1	1
15	4
4	1
4	1
10	4
11	2
10	1
13	1
5	3
4	3
1	3
13	3
23	17
63	52
87	52
4	6
2	1
3	8
17	14
12	5
25	22
1	1
100	81
18	2
21	6
2	1
17	5
14	5
14	5
38	22
8	4
1	1
1	1
10	7
2	2
4	5
1	2
1	1
1	1
1	1
1	2
2	18
2	1
1	1
2	1
2	1
2	1
7	4
1	1
1	1
1	45
2	1
2	1
2	1
42	19
2	1
2	1
2	1
1	43
2	1
2	2
3	4
2	1
19	2
43	28
2	1
2	2
1	1
1	2
2	1
2	1
2	2
2	1
2	2
1	1
1	1
1	1
1	28
2	2
3	3
1	2
2	2
2	2
1	2
1	14
1	2
3	2
2	2
2	2
2	1
1	9
3	2
6	4
2	2
3	2
2	1
2	1
19	4
6	5
7	4
8	5
3	41
1	1
1	1
1	1
1	1
1	2
6	6
7	7
9	6
18	130
1	1
10	8
43	28
