Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
78db74dd88b	0	41	40	1	2	1	0	390
542234ad984	20	88	78	10	1	0	0	182
45f1330425b	23	14	8	6	2	0	0	226
0ff51c6e063	23	2	1	1	1	0	0	489
934bfe23a16	7	193	145	48	2	1	0	1185
0603c8345b7	20	6	4	2	1	0	0	340
4dc660e1644	6	19	3	16	1	0	0	393
caeb67735ba	2	393	363	30	4	2	0	592
5ff59453a48	18	11	7	4	1	0	0	261
3589a62104e	20	11	8	3	2	0	0	761
3cc2e178311	1	2	1	1	0	0	0	50
fbcf0397593	1	26	18	8	3	0	0	43
8d045a30e95	0	745	745	0	3	3	0	623
862cc28183b	20	98	81	17	3	0	0	348
2f7234d89c3	16	32	32	0	1	1	0	213
64d6de9f34a	0	61	61	0	2	1	0	257
9c992bdb752	17	79	79	0	1	1	0	409
8e60b4523cc	18	50	50	0	1	1	0	629
90d1147b8be	0	153	134	19	5	2	0	914
0565d52a713	20	18	12	6	1	0	0	378
f5f5bd76e6e	21	91	89	2	2	0	0	270
7d1860a6788	22	12	11	1	1	0	0	478
b0277f35bd8	23	62	38	24	1	0	0	254
7da63a10ac5	18	2	1	1	1	0	0	183
6f043940bdc	16	34	34	0	2	1	0	703
befbbad0513	1	241	228	13	7	3	0	697
0381cf56988	1	9	8	1	1	0	0	401
ef3c4ed3dd2	0	31	30	1	1	0	0	266
