Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
b037c16f55c	6	2	1	1	1	0	0	70
a848a3efbfe	6	61	59	2	2	1	0	82
e1c043f43a4	8	323	177	146	13	0	0	59
a337ac75843	8	73	73	0	2	1	0	90
b962ff35ddc	8	38	20	18	1	0	0	54
e6b6075024e	15	128	121	7	2	1	0	60
7aa5924dc6e	11	62	41	21	4	0	0	37
07c27e040eb	17	147	147	0	4	2	0	75
c744e925dfd	9	10	6	4	1	0	0	48
f8c335d0caf	13	212	207	5	5	2	0	63
3ebbdc6320a	15	49	37	12	0	0	0	17
5451ba3aa8f	15	103	101	2	2	1	0	71
6392eba3f9c	17	12	6	6	1	0	0	36
1001cf412c3	16	59	27	32	1	0	0	68
96fe50400dc	3	4	2	2	1	0	0	15
a6dbe0ff23a	11	6	3	3	1	0	0	49
f5a01d17643	10	2	1	1	1	0	0	102
f53d092a2a9	17	139	135	4	9	4	0	48
8a729270c14	15	6	3	3	3	0	0	46
52c2988f160	2	2	1	1	1	0	0	49
173f91c7918	6	29	29	0	1	0	0	37
cbcaeedba96	12	95	95	0	3	1	0	71
0e8a55d2a22	9	101	100	1	2	1	0	154
00aa8935d7f	14	75	51	24	4	0	0	37
ed744ecbfd7	5	2	0	2	0	0	0	35
7e2d799328b	4	2	1	1	1	0	0	15
6a72e525202	13	17	6	11	1	0	0	62
d2698d18227	15	66	66	0	1	1	0	25
cdec7e3ae50	7	41	27	14	1	0	0	30
d6191f593df	8	51	45	6	2	1	0	50
86a67f15a0f	16	149	89	60	1	0	0	25
68cc173c6d2	10	87	77	10	3	1	0	115
19a855382c5	4	130	129	1	6	1	0	64
a09b747f302	8	6	4	2	2	0	0	52
1b55010a04b	8	7	4	3	1	0	0	27
97974825681	5	157	98	59	1	0	0	49
530082932d8	8	2	1	1	1	0	0	75
4cdf9d41586	9	48	41	7	1	0	0	44
49ac083dc18	9	78	78	0	1	1	0	24
b93a7cc99e0	6	4	2	2	1	0	0	16
244675cab19	14	2	2	0	1	0	0	28
e7f64a7d412	11	37	37	0	1	0	0	42
389e2a07e67	16	46	44	2	2	0	0	45
6139459d45f	15	41	37	4	2	0	0	52
98b64422bbc	12	458	240	218	1	0	0	45
526c54c9790	2	3	3	0	2	0	0	63
fdbfc9ceb73	6	67	58	9	2	1	0	58
3e853e627ed	9	24	24	0	2	0	0	62
c28f20f8804	16	27	3	24	1	0	0	44
28a908471d9	16	31	11	20	2	0	0	52
96ede8cc9b9	7	12	10	2	2	0	0	60
6f606838025	11	134	113	21	4	2	0	57
43cdbec3be4	16	26	9	17	1	0	0	64
485d5b5dff4	18	153	152	1	4	0	0	76
509a676128a	15	26	24	2	1	0	0	17
1adfd48448e	15	1	1	0	1	0	0	17
4cf931db173	7	103	103	0	2	1	0	367
8293bb8a327	6	303	158	145	26	0	0	126
4d186f270fa	14	2	1	1	1	0	0	44
d1a26284991	8	99	78	21	1	0	0	36
d439c092c20	6	18	15	3	3	0	0	64
bbb38b89184	6	5	3	2	1	0	0	56
ae77b4d5531	14	30	30	0	1	0	0	89
d3d8f1b972e	13	8	6	2	2	0	0	45
c72223e2a9a	18	19	19	0	2	0	0	43
bffb758243c	15	3	3	0	1	0	0	84
62aaf56d1bf	14	41	41	0	2	1	0	84
8b3ba47f88e	14	41	41	0	2	1	0	84
d32971a8cbc	6	34	25	9	2	0	0	57
50e147bd03a	17	155	122	33	3	0	0	76
3eb246485a5	5	13	2	11	3	0	0	17
691497babe6	15	5	4	1	1	0	0	50
4662ace9165	5	8	4	4	4	0	0	304
e8bc80cf152	0	8	4	4	1	0	0	31
8caf7fdb05b	16	90	90	0	2	2	0	44
a3e3ad40b1f	15	94	92	2	2	1	0	207
5208abe7237	15	45	43	2	2	0	0	232
5f97c9a0058	9	47	45	2	2	0	0	49
128d1bab2a1	15	2	1	1	1	0	0	94
701ae3c995a	15	2	1	1	1	0	0	48
d05afa50e69	17	3	3	0	1	0	0	30
7e8735b3fe6	7	23	21	2	1	0	0	66
87b6dc21c8c	13	43	29	14	2	0	0	175
d38fac2230e	6	26	16	10	1	0	0	99
8faf9411094	19	2	1	1	1	0	0	57
04c91698929	19	2	1	1	1	0	0	57
c60cdcda4e3	15	49	34	15	3	0	0	54
bcf3c7d31c5	7	10	5	5	1	0	0	146
3e2abd12d35	6	26	16	10	1	0	0	99
38a0145869d	7	10	5	5	1	0	0	146
432d54900e8	7	15	0	15	1	0	0	58
6c121edc600	14	66	57	9	4	1	0	241
d6ec8f668e3	16	42	41	1	2	1	0	248
d4f82ea5907	4	8	7	1	2	0	0	75
80c2fe9456a	6	35	32	3	2	1	0	51
56aa2fd4c3d	4	15	14	1	1	0	0	71
fcc04e67c87	6	7	6	1	2	0	0	58
1343ee8d54f	7	12	10	2	2	0	0	18
74d94b0dd1d	16	3	1	2	1	0	0	55
9533e879f0d	16	15	14	1	2	0	0	77
682b66c0c1d	13	2	1	1	1	0	0	86
ca028f4b37d	13	9	2	7	1	0	0	56
5ccdff48f3c	19	5	4	1	1	0	0	36
414fa4abae9	16	26	14	12	1	0	0	36
113b1e6e0cb	16	31	29	2	2	1	0	54
4e047d32b0a	17	15	15	0	1	0	0	34
db6ea109483	16	4	2	2	2	0	0	19
07426ef29c2	16	5	5	0	1	0	0	46
452df69964d	18	7	6	1	1	0	0	36
4e7c37b87c0	15	35	34	1	2	1	0	58
0a51a6d3ac0	3	38	38	0	3	2	0	48
45c0faf3996	11	4	2	2	1	0	0	22
