Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
a363f61ca83	21	14	12	2	1	0	0	243
1b81ea82767	22	4	2	2	1	0	0	23
52795f8fcc2	21	38	34	4	1	0	0	560
6a90a060023	0	1037	535	502	3	0	0	326
28ae70ebad8	23	35920	23901	12019	752	253	85	23
293f036bd4f	22	6	4	2	0	0	0	40
54206e32a6c	21	8	1	7	1	0	0	108
ea69dd7584a	19	4	2	2	1	0	0	23
69080f54743	19	7	6	1	1	0	0	160
b9283cf9d17	17	187	167	20	3	1	0	202
fe2e8a4a24c	0	28	26	2	1	0	0	717
35443862a23	23	204	160	44	8	0	0	23
6c8593d4568	22	34	22	12	2	0	0	46
226c98649df	22	20	20	0	1	0	0	31
b259f245f87	22	2	1	1	0	0	0	26
c77fd4a03ef	20	17	8	9	1	0	0	47
3859fbdb7df	1	10	7	3	1	0	0	234
2afa3d8a03f	1	8	7	1	1	0	0	221
d601c76f4d7	20	306	299	7	10	4	0	353
c1f4aacc75c	21	12	6	6	0	0	0	46
641cea09269	20	15	12	3	1	0	0	33
2b7c8a2f02c	18	12	10	2	3	0	0	40
8e4fc88c797	0	4	2	2	1	0	0	23
fd896d5acfe	21	171	170	1	1	0	0	4971
9fad8958df6	21	28323	15783	12540	579	150	42	27
902090af537	21	171	170	1	1	0	0	4971
edadbd6819d	21	28323	15783	12540	579	150	42	27
f773fb41cc2	21	5	5	0	1	0	0	140
84952da2419	23	4	2	2	1	0	0	23
0fe0d121551	22	23	21	2	1	0	0	438
daca803e9e3	22	31166	21095	10071	496	124	47	22
adf2cfd54da	22	4	2	2	1	0	0	23
7fabdc23d84	15	25	23	2	1	0	0	395
6a11bfe74bc	15	2662	1999	663	178	24	3	23
92598e8f2b5	19	4	2	2	1	0	0	29
53b4accb6e5	20	9	8	1	1	0	0	154
8fd350e3575	18	4	2	2	1	0	0	22
643a21c0976	18	2	1	1	1	0	0	219
4f2b08c523c	18	6	3	3	2	0	0	23
0c766cbdfe2	17	9	7	2	1	0	0	105
bc0ff830aff	17	44	42	2	1	0	0	912
71698798796	16	135	125	10	9	1	0	24
1223cafea64	16	9386	6801	2585	419	61	6	24
e22ea56647b	0	2	1	1	0	0	0	63
d5edd687944	15	4	2	2	1	0	0	22
361aa5344d6	21	4	2	2	1	0	0	219
f6ba61bd154	15	6	0	6	1	0	0	49
a69205346b0	19	4	2	2	0	0	0	39
eeb08ca496c	18	22	20	2	1	0	0	581
1cb6f1a46ad	17	4	2	2	1	0	0	23
ce82d6b8474	17	36	34	2	1	0	0	901
e9170cbc3d3	22	46	28	18	1	0	0	208
f051f317905	22	6657	4182	2475	351	49	3	24
535c7777ac6	0	226	158	68	10	1	0	131
f82652e68ee	17	27	18	9	12	0	0	24
650d1355a58	16	5447	3320	2127	212	2	0	26
15f0e0a5967	0	235	166	69	11	1	0	131
654267609b5	0	12	4	8	1	0	0	43
1bbb3cc00d2	19	4	2	2	1	0	0	26
58cc3622516	21	24	8	16	1	0	0	297
41d8e10f0d7	17	13	12	1	1	0	0	254
9479399d3b4	15	2	1	1	1	0	0	166
a6583ebd113	14	4	2	2	1	0	0	23
bfe1fdb8ab5	14	4	2	2	1	0	0	23
b148cbe09d4	0	9	7	2	1	0	0	63
89223ae860f	23	73	71	2	1	0	0	1641
1285008fcaa	22	4	2	2	1	0	0	23
cb7911f78ae	21	44	42	2	1	0	0	804
1038959dbf7	16	262	236	26	13	0	0	23
7b72e156655	16	4	3	1	1	0	0	131
632c1356222	20	11	4	7	1	0	0	1550
af69f88a9d5	16	2	1	1	0	0	0	45
ee4b9b552de	17	58	27	31	1	0	0	45
9bd934cb961	14	4	2	2	1	0	0	23
7d6b8db40f3	21	6	6	0	1	0	0	48
0c2e28d68ff	20	76	74	2	1	0	0	1962
e2fcfea46e3	0	25	8	17	2	0	0	213
e92d35d80be	0	1300	942	358	44	1	0	24
a18c9b7dde2	21	6	4	2	1	0	0	257
06453a94a7b	0	41	38	3	4	1	0	344
afc29ed397f	23	23	16	7	1	0	0	228
cd08c8a0e5e	2	2655	2267	388	66	6	0	24
98a0909da05	21	2	2	0	1	0	0	117
67dfcd55be6	19	4	2	2	1	0	0	156
bfc823de905	19	9	4	5	4	0	0	33
fa0ac99541f	4	2	1	1	0	0	0	22
581b8585eb9	4	6	3	3	0	0	0	39
407e295f435	3	115811	115322	489	211	204	0	29
d2952cce363	3	65	46	19	1	0	0	39
de56ffa58b0	2	32	26	6	2	0	0	132
265fdc8e91b	1	11	10	1	1	0	0	119
78a854f8721	1	116	58	58	2	1	1	218
95bb347d6ca	0	4	2	2	1	0	0	224
3a3b7488b58	0	10	8	2	1	0	0	131
e324717f8da	0	48	0	48	1	0	1	189
af1418325ba	18	224	129	95	5	0	0	233
085db9dd6c1	2	22	11	11	1	0	0	47
ae418f974d7	0	4	2	2	1	0	0	24
cc56c62ed87	23	0	0	0	3	3	0	99
31c510ca882	22	41	39	2	1	0	0	725
3e6e63406d0	21	7	5	2	1	0	0	43
c2aea3747da	21	156	143	13	9	1	0	24
937e2e351b2	0	43	29	14	4	0	0	192
59baab27769	1	154	147	7	4	2	0	216
e5eadcfa199	4	3	0	3	1	0	0	188
c0d73e6de1b	0	2	1	1	1	0	0	37
a4436bab7b8	3	33	32	1	2	1	0	61
86b8d848114	19	448	448	0	1	1	0	132
37376debe54	23	24341	3	24338	318	0	332	173
e8df2676748	20	767	687	80	6	4	0	269
297fee70b97	20	749	669	80	6	4	0	341
5c832e44c3c	16	32	23	9	5	0	0	148
e3d83590216	19	4	2	2	1	0	0	34
1d2fab37e61	21	63	63	0	3	1	0	30
c8c26f12e44	17	22	11	11	1	0	0	193
a98d5417333	3	106	106	0	1	1	0	24
e63268e433f	3	4	2	2	1	0	0	23
b46e7742158	1	61	60	1	1	0	0	1457
95b8a75d5e4	1	104	92	12	5	2	0	26
ab54e32bbd5	22	19	11	8	1	0	0	209
114bff467eb	2	2	1	1	1	0	0	50
2f5e77f55bb	2	15	13	2	1	0	0	211
cd2d3aedaab	1	10	7	3	1	0	0	182
d0d4719e472	17	5	3	2	1	0	0	174
5aebc735258	19	72	72	0	1	1	0	24
eb7c7be7da4	19	4	2	2	1	0	0	23
b0e5f195dfc	5	37	19	18	1	0	0	21
bc2f31ae1d0	5	29	27	2	1	0	0	471
8b7ec733317	4	168	147	21	6	0	0	24
574f71444c0	1	1696	856	840	20	10	9	42
6cc95b06eae	1	671	152	519	5	1	0	37
1d57a5caa4d	22	52	52	0	1	1	0	34
dcd5224e1f2	1	1696	856	840	20	10	9	42
be3aaeb0e9f	1	671	152	519	5	1	0	37
8753bb38596	18	7	5	2	1	0	0	186
270c2deb84b	21	41	40	1	2	1	0	174
30b3bc2f7ce	22	121	115	6	10	1	0	24
aa56d9d3540	0	106	106	0	1	1	0	24
c3e26d64f89	0	4	2	2	1	0	0	23
66931791f06	23	63	62	1	1	0	0	1493
5ce4f3ec3d8	23	3	2	1	2	0	0	26
ffb718b5a36	22	12	7	5	1	0	0	40
6f8aa24d1ee	19	37	20	17	1	0	0	50
8590f810a53	18	357	299	58	22	2	0	24
f84c7a27765	17	68	68	0	1	1	0	24
00e28ee6a8d	17	4	2	2	1	0	0	23
b7fd6bc899c	23	19	17	2	1	0	0	310
9371be0aa15	23	19	15	4	2	0	0	24
32478acf94e	21	36	36	0	1	0	0	158
7dca8d714f4	6	86	86	0	1	1	0	24
bb1575b4c4d	6	4	2	2	1	0	0	23
0462bc23564	5	46	44	2	1	0	0	894
910bc3c02d9	4	202	156	46	14	1	0	21
4ec189b2501	4	1904	1785	119	15	1	0	23
92bbd60a3ff	18	2	1	1	1	0	0	60
f9f9239fa2f	19	4	3	1	0	0	0	46
2905884b63e	5	2	1	1	0	0	0	320
b5e161989cc	4	22	13	9	0	0	0	192
6877e64fa8e	2	10	9	1	2	0	0	229
a34bbaf31bd	0	92	92	0	1	1	0	23
1a7d3e2b72a	0	4	2	2	1	0	0	23
dcfd032bdd6	0	46	45	1	1	0	0	1107
40d5e9074a0	16	9	8	1	1	0	0	245
1fef66ffd4c	16	3562	3117	445	52	16	2	24
b73967e9a0c	23	789	522	267	29	4	0	25
ac9cf002524	20	74	74	0	1	1	0	24
9142dc676fd	20	4	2	2	1	0	0	23
cbff8f091c2	20	28	26	2	1	0	0	571
16934d92105	19	13	13	0	2	0	0	598
ac799ba0afa	18	763	627	136	19	3	1	24
