.h	.py
4	1
10	2
37	1
131	7
23	168
91	5
72	1
7	1
72	1
92	5
84	5
84	5
74	1
15	2
30	6
15	1
23	6
1	1
22	9
32	1
220	18
218	18
37	3
218	17
2	1
31	8
1	1
51	1
1	1
64	7
44	2
30	1
28	1
105	1
19	1
52	1
36	1
36	1
60	2
17	1
10	2
26	1
1	1
2	1
67	10
45	1
8	1
8	1
17	2
24	2
6	1
4	1
27	1
43	2
12	1
38	1
61	2
36	1
58	1
19	1
55	3
1	2
47	3
36	1
36	1
36	1
28	2
10	1
61	7
49	1
36	2
38	3
16	3
14	2
19	2
39	1
30	2
37	3
41	1
40	1
128	2
96	2
7	1
130	19
5	2
8	1
7	1
292	32
457	49
1	1
10	1
6	1
12	1
314	19
30	293
163	22
85	11
194	24
11	1
4	1
1	1
10	1
2	1
124	19
