.js	.markdown
1	2
9	2
3	1
2	1
2	1
1	1
3	2
2	1
188	1
1	1
1	1
3	1
2	1
2	1
2	1
5	2
2	1
3	2
1	1
2	1
2	1
2	1
9	2
2	1
2	1
1	1
2	1
1	1
2	1
3	1
2	1
1	1
3	1
4	1
2	1
1	1
2	1
10	1
1	1
1	1
10	1
2	1
1	1
8	1
1	1
2	1
1	1
7	1
2	1
6	1
3	1
2	1
1	1
8	1
1	1
6	1
3	1
6	1
2	1
5	1
2	1
3	1
1	1
2	1
2	1
2	1
2	1
2	1
2	1
1	1
2	1
1	1
2	1
2	1
2	1
8	1
3	1
4	1
1	1
1	1
2	1
3	1
2	1
2	1
1	1
3	1
1	1
1	1
1	1
2	1
1	1
1	1
4	1
1	3
1	1
3	1
2	1
1	1
2	1
3	1
2	1
2	2
2	2
1	1
1	1
8	2
9	3
8	1
1	3
5	1
2	1
2	1
1	1
1	1
53	1
1	1
2	1
2	1
2	1
4	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
2	1
2	1
5	1
2	1
1	1
1	1
2	1
2	1
6	1
1	1
1	1
2	1
2	1
88	1
2	1
8	1
16	1
2	1
8	1
2	1
2	1
3	1
3	1
3	1
3	1
1	1
2	1
3	1
3	1
2	1
1	1
2	1
5	1
2	1
2	1
1	1
2	1
1	1
2	1
2	1
4	1
3	1
2	1
25	2
2	1
2	1
2	1
262	3
2	1
5	1
4	2
1	1
2	1
2	1
2	1
2	1
1	19
2	1
2	1
4	2
2	1
4	1
1	1
3	1
2	1
2	1
4	1
38	2
2	1
4	1
4	2
2	1
3	1
1	1
2	2
2	1
2	1
1	1
2	1
2	1
373	1
2	1
1	1
4	1
3	1
2	1
4	1
4	1
2	1
1	1
5	1
14	1
2	1
2	1
3	1
3	1
3	1
4	1
3	1
54	1
5	1
5	1
22	2
2	1
2	1
2	1
2	1
1	1
2	1
2	1
1	1
21	1
2	1
1	1
4	1
106	1
2	1
2	1
1	1
2	1
