Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
0674cbaceb8	13	21	21	0	2	0	0	40
df3a2b2cf21	13	46	32	14	1	0	0	365
304c0b43aa8	15	3	2	1	1	0	0	721
cb8cadbe624	12	2	1	1	1	0	0	114
3139fa20d78	16	4	0	4	1	0	0	233
d22637c36c0	13	15	12	3	1	0	0	282
61dd74bc5df	18	4	2	2	1	0	0	295
03e93526e6b	16	19	19	0	2	1	0	379
0d357fa135d	14	28	15	13	2	0	0	259
d2078f98fc6	14	3	2	1	1	0	0	36
93f3b640d06	13	11	9	2	1	0	0	145
2e370d73fe4	12	4	2	2	1	0	0	50
422212a9caf	16	138	79	59	5	0	0	85
2a415358ee8	14	7	7	0	1	0	0	220
7ca4fa56d05	9	18	1	17	1	0	0	1084
4e68a28e20b	9	18	1	17	1	0	0	1084
c862c034853	18	13	4	9	1	0	0	323
c06495713a9	17	24	19	5	2	0	0	307
1ab98a130e5	16	222	100	122	2	1	1	533
29518c17bea	15	6	3	3	1	0	0	529
c20b209dbb7	1	19	13	6	1	0	0	307
20176a98416	14	101	98	3	6	1	0	217
c1bb8869905	12	64	12	52	1	0	0	863
b5f9779c2f8	17	22	11	11	1	0	0	230
2ca4d9d662f	17	3	1	2	1	0	0	184
a1fc0fc23a4	17	3	1	2	1	0	0	301
440b9e22457	18	51	22	29	1	0	0	170
bb2af7dd4dc	9	2	1	1	1	0	0	116
0f10dd4cb23	10	6	3	3	1	0	0	130
8f94ef46b77	15	2	1	1	1	0	0	210
527cabefcb8	15	4	3	1	1	0	0	807
3da36fe00e5	11	27	23	4	1	0	0	385
e3ec2f7dabb	13	11	5	6	1	0	0	190
bae545dab78	17	2	1	1	1	0	0	341
15de8c2b606	1	19	13	6	1	0	0	307
49c2372e684	17	61	0	61	1	0	1	592
dc1ffd0da6f	13	4	2	2	1	0	0	304
14d6df87025	8	4	3	1	1	0	0	131
42cd468901b	16	22	15	7	1	0	0	333
5d4f4ee310e	15	10	6	4	1	0	0	184
2a0b619f7b8	8	2	1	1	1	0	0	160
22879e749e5	8	2	1	1	1	0	0	127
5393d02c0cb	14	15	8	7	1	0	0	295
edfc0d9ffe0	14	4	2	2	1	0	0	141
e12e72eb58c	16	22	12	10	2	0	0	488
06990da3f69	14	4	2	2	1	0	0	141
4946c833f34	16	22	12	10	2	0	0	488
2e3da9be84f	12	3	3	0	1	0	0	150
1b748928078	21	11	8	3	1	0	0	139
f030d8426aa	15	12	12	0	1	0	0	158
ea18aecc827	16	13	11	2	1	0	0	123
9be6470b534	18	9	0	9	1	0	0	495
cdc038ceb60	15	40	16	24	2	0	0	197
c5d49ba9c29	19	5	1	4	1	0	0	229
ceea1e845ad	14	24	16	8	1	0	0	135
f9e3364a473	13	4	3	1	1	0	0	204
0da4e0e8439	2	73	57	16	2	0	0	273
6e33718c36b	16	22	12	10	2	0	0	481
9ba0d905b0d	19	5	1	4	1	0	0	200
c749a841cd8	23	11	7	4	3	0	0	38
