Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
1349b680bad	0	272	21	251	7	0	4	175
28451aeabad	20	2	1	1	1	0	0	101
b7b51cb96be	20	8	6	2	1	0	0	58
2f26d2acdcc	20	28	0	28	2	0	0	98
6a3e38af852	18	8	7	1	1	0	0	36
b94a3f68978	22	14	6	8	2	0	0	42
67d013ed7e0	22	8	7	1	1	0	0	131
552bcf33954	22	253	248	5	4	2	0	107
8d5bc968eb2	10	200508	109166	91342	1318	252	411	29
707cc25011d	16	3	1	2	1	0	0	299
e0e38c2f470	16	3334	2519	815	87	5	1	31
d6712917f58	15	11	10	1	1	0	0	138
0ec78c961b3	8	16	12	4	0	0	0	138
d87480beb29	10	36	32	4	2	0	0	431
685ac099e9d	10	79	44	35	9	0	0	461
42ecd48c7f6	14	28	23	5	1	0	0	330
7a0cfe9b116	14	1170	1043	127	17	6	1	134
270e998c903	4	41	34	7	5	0	0	138
a2a3fd48934	12	8	8	0	1	0	0	258
d87ae24dfe1	12	2	1	1	1	0	0	107
2122a77f517	9	128	87	41	4	0	0	291
4dbb84fc526	9	4	3	1	2	0	0	175
7fd35e6ea43	20	15	13	2	2	0	0	34
c5f5d4cd11c	17	8080	6385	1695	108	51	0	30
6e08bb94e8b	12	51	51	0	3	0	0	108
cb4ed3c78fd	22	42	18	24	3	0	0	189
1fddc1fee84	12	66	41	25	2	0	0	743
630f0c4660f	9	13	12	1	1	0	0	430
f3836af2f80	18	43	41	2	1	0	0	81
73631bbcc83	14	108	100	8	3	1	0	94
7343c77cdba	14	13	8	5	3	0	0	145
68c14d69232	12	15	3	12	1	0	0	128
627c1a92ebc	11	10	9	1	1	0	0	100
6e453fad87c	14	426	426	0	6	0	0	23
6adf3ecebb4	13	90	83	7	6	0	0	88
f39e608c6eb	22	5	5	0	1	0	0	128
ada85d73070	10	5676	5659	17	8	7	0	49
8a7d7f8b2b4	19	1	0	1	1	0	0	183
3122e0eae64	23	11	8	3	1	0	0	694
d1dd0d6b388	13	4	2	2	1	0	0	40
ffd0116eda9	13	18	5	13	4	0	0	112
181b8a5d3af	10	18	13	5	4	0	0	40
9134a3bf413	10	4	2	2	1	0	0	40
fd80a31e069	15	106	50	56	1	0	0	469
c7b42fe2e53	8	31	29	2	5	0	0	122
5d824c89c9c	9	9560	3529	6031	157	3	47	32
396b9deacdf	13	10	9	1	1	0	0	418
