Commit Id	Time	Total LOC	LOC added	LOC removed	Files affected	Files added	Files removed	Commit Msg
562d3f11f31	9	2	1	1	1	0	0	240
61741f9a835	10	2	1	1	1	0	0	138
c4fc0febfac	3	35	17	18	1	0	0	98
fde338bf83b	16	2	1	1	1	0	0	81
697484df82e	15	2	1	1	1	0	0	112
8936868e9bf	16	2	0	2	1	0	0	100
0db521d0b0d	10	2	1	1	1	0	0	166
31cffae2ba5	10	4	2	2	1	0	0	137
27a91387ae7	19	2	1	1	1	0	0	45
0506d294dc5	9	4	2	2	1	0	0	65
eb502205d5a	9	31	30	1	2	1	0	132
1c7acd2c843	9	3	1	2	1	0	0	170
0397223ab4a	4	4	2	2	1	0	0	57
83161455bd4	14	1	1	0	1	0	0	50
22d7fe12067	15	45	27	18	2	0	0	58
