Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
7a0db2813fa	18	10	10	0	1	0	0
b3ed63a4bd0	18	21	21	0	3	2	0
5fa6ef06fad	23	26	26	0	1	0	0
a5d8eee0714	15	6	4	2	1	0	0
c0d96cb1000	15	8	8	0	1	0	0
76412251eea	15	3	3	0	1	0	0
e6ce71fb1f3	13	113	78	35	1	0	0
6ba13c22568	13	47	46	1	3	2	0
5e350d68ecc	15	14	7	7	3	0	0
d3efe397931	13	14	7	7	3	0	0
479465d164e	13	3	3	0	1	0	0
6024d19553f	13	2	1	1	1	0	0
0199dfe46c1	00	4	2	2	1	0	0
f1cfcd6f62b	22	10	7	3	2	0	0
b66328796e2	18	5	3	2	1	0	0
9ee2b545707	16	10	10	0	3	2	0
8b7a92d060f	15	7	4	3	1	0	0
8c95ad3bc4b	14	2	1	1	1	0	0
c7cc397d586	14	5	4	1	1	0	0
3e1ddcf8c70	14	2	2	0	1	0	0
8db204ea841	12	4	3	1	1	0	0
fe0722a760c	12	2	1	1	1	0	0
de891882af1	10	25	17	8	1	0	0
bca136dd09a	10	10	10	0	3	2	0
bb624716205	10	13	6	7	1	0	0
dd8319276e5	10	6	2	4	1	0	0
e4936e3eb86	23	22	22	0	2	0	0
7419fdc38b7	23	4	1	3	1	0	0
6eb0e4a9edb	22	8	5	3	1	0	0
13b84634631	22	6	3	3	1	0	0
209c4b85cd2	21	114	53	61	3	0	0
a1e936cf25f	21	6	5	1	1	0	0
e17a147bb24	20	757	366	391	4	0	0
b5b1139178e	20	306	306	0	2	2	0
9c5b4a70206	20	18	12	6	1	0	0
42701557414	19	151	84	67	6	0	0
aae63ea9173	16	95	50	45	2	1	0
e83cd711895	16	14	12	2	1	0	0
bf221f0ec7b	22	30	18	12	2	0	0
f94a6fa658f	23	25	16	9	1	0	0
8feab6c24c1	02	23	15	8	3	0	0
224d9c65b50	14	14	14	0	1	0	0
194e2cf22dc	14	2	1	1	1	0	0
c34fd4f5aaa	14	111	63	48	2	0	0
3954842237c	13	2	1	1	1	0	0
1908dc24b8e	13	2	1	1	1	0	0
100835bc2ae	13	2	1	1	1	0	0
a5cee22ea1e	11	61	56	5	7	4	0
4b8ad187022	11	4	3	1	1	0	0
0c7b6955647	10	12	11	1	1	0	0
0923651c140	08	9	4	5	1	0	0
022a7a21331	08	19	10	9	1	0	0
58fd92f1fc5	22	27	13	14	1	0	0
208826304f8	09	139	139	0	1	1	0
fedfa3903e2	23	21	15	6	1	0	0
3bc977b2f67	23	7	6	1	1	0	0
9ad4609a5bd	23	4	2	2	1	0	0
9505be02e00	22	7	3	4	1	0	0
36ccedacb54	22	67	41	26	1	0	0
18691afbdd8	22	4	4	0	4	1	2
b565869c17b	22	222	103	119	3	0	0
10ddf293582	10	2	2	0	1	0	0
6c816666975	10	7	4	3	1	0	0
277214f4768	20	14	7	7	1	0	0
9f51245e64b	20	9	8	1	1	0	0
3f81a14e891	19	11	7	4	1	0	0
642582c5944	16	2621	2621	0	20	21	0
59c7b91fc70	16	73	73	0	1	1	0
b8a4d8bdbe8	17	28	16	12	2	1	0
cb0d1919d6d	16	12	6	6	3	0	0
e17742bf3cc	16	10	5	5	2	0	0
79189b7044e	16	5	3	2	2	0	0
2695c923bc7	16	42	27	15	8	0	0
dc630aacc39	15	9	6	3	2	0	0
d70577fec39	11	6	3	3	1	0	0
b505caff79b	11	44	1	43	1	0	0
a6c35aff04b	11	2	1	1	1	0	0
de6ece7865a	11	4	2	2	1	0	0
9218ed247f5	23	10	5	5	1	0	0
226bca75829	23	117	21	96	21	0	0
