Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
da19342cb86	15	8815	3791	5024	2	0	0
00ed5fc092d	16	28	23	5	0	0	0
88474ee5578	16	1622	811	811	0	0	0
059fa9cbdd7	16	811	811	0	0	1	0
5fdfc915f59	13	53	21	32	2	0	0
140e0e698a2	14	5	4	1	1	0	0
d14540e4099	18	14	12	2	4	0	1
af4ba1ae1d2	13	134	107	27	2	0	0
93f0d0b5fe7	13	39	38	1	1	0	0
5d79f07591e	08	384	356	28	6	0	0
32ad15cdbea	10	4	2	2	1	0	0
d8143b689c9	12	4	2	2	1	0	0
44f8d303bd1	12	21	10	11	1	0	0
ece231259b6	09	43	42	1	2	1	0
237a4beaa9f	18	2	1	1	1	0	0
cca2b79d2f1	08	10	10	0	1	1	0
2a946331bd9	06	2	0	2	1	0	0
6919f266236	14	8	8	0	1	0	0
f2e3363da6a	05	29	0	29	1	0	0
babbb366b16	11	16	9	7	1	0	0
e36cd56bf7c	10	7	4	3	2	0	0
0066e6643a2	06	0	0	0	0	0	0
1cacc9a6f7d	15	1635	219	1416	4	0	0
d0cb5b31990	13	4	3	1	1	0	0
a10207b2665	09	18202	9101	9101	3	0	0
0bcb4cd9ae7	10	4	3	1	1	0	0
5a6be7a24a8	09	74	37	37	2	0	0
5a81dddc44e	08	2240	1120	1120	4	0	0
169313ec5be	16	178	89	89	2	0	0
1d78c9bd63f	13	4	2	2	2	1	0
30b347e4551	13	4	2	2	1	0	0
374c9de6c2f	13	2	1	1	1	0	0
912feb6df4b	13	15	11	4	4	0	0
20edbf5623a	13	68	34	34	1	0	0
47bbc59d24a	13	6	3	3	1	0	0
205572c3149	12	10	1	9	1	0	0
