Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
096fcd2a2ba	17	2	1	1	1	0	0
c1be331ffb2	17	2	1	1	1	0	0
87f6b63d962	17	2	1	1	1	0	0
49346ab1437	17	5	4	1	1	0	0
ef5eb824a6a	17	8	8	0	1	0	0
e0aeed95471	17	4	1	3	1	0	0
0336e7d122e	17	14	7	7	1	0	0
a9e52a76a91	17	2	1	1	1	0	0
c80e9d77c91	17	5	3	2	1	0	0
aac95eaf2b1	17	2	1	1	1	0	0
51ac5e1c102	17	2	1	1	1	0	0
ead0c283fc9	17	2	1	1	1	0	0
725ec8ad625	16	2	1	1	1	0	0
a20308d0de7	16	2	1	1	1	0	0
d6d0f3bfb10	16	18	13	5	1	0	0
d907f54ea17	16	21	11	10	1	0	0
f1969537a75	16	5	4	1	1	0	0
9546009315a	15	4	2	2	1	0	0
34f84913dc0	15	6	4	2	1	0	0
4b8cb97417e	15	4	2	2	1	0	0
e0a2ec90e41	15	1	0	1	1	0	0
7f434dd17e7	15	2	1	1	1	0	0
12d4b8dd36f	15	3	1	2	2	0	0
83fd8106d82	15	3	2	1	2	0	0
a3a8fefdbff	15	2	1	1	1	0	0
a7ae2c83328	15	2	2	0	1	0	0
395530ce4f0	14	6	3	3	1	0	0
4f923dec443	14	2	1	1	1	0	0
4f5c2e5d64f	14	2	1	1	1	0	0
53484f19ccd	14	11	4	7	2	0	0
09baf8a0184	13	5	3	2	1	0	0
ef81a155130	13	4	2	2	1	0	0
5a355ac8578	13	4	2	2	1	0	0
67015e77882	13	2	1	1	1	0	0
260798ed358	13	2	1	1	1	0	0
6ccc2278eb0	13	6	4	2	1	0	0
3f3bb42937a	13	3	2	1	1	0	0
edddd8ddfad	13	5	2	3	1	0	0
768894614be	13	4	0	4	1	0	0
fe4b113f92f	13	2	1	1	1	0	0
820e0c17d32	13	10	6	4	1	0	0
9b293a7552d	13	3	2	1	2	0	0
fe6fb66e414	13	3	1	2	1	0	0
3adb091f810	13	6	3	3	3	0	0
c52986853ae	13	3	1	2	1	0	0
5465bb19ce9	13	1	1	0	1	0	0
8c284bb8006	13	3	2	1	1	0	0
9de4d91f837	13	2	1	1	1	0	0
9b4831aa7cd	13	96	65	31	3	0	0
d2aee08e398	12	4	2	2	1	0	0
f8c3357fb05	11	211	5	206	3	0	1
535a100edba	11	207	204	3	2	1	0
4b62889da27	11	4	2	2	1	0	0
7190ad59edd	11	3	2	1	1	0	0
2628fc4e966	11	2	1	1	1	0	0
f02a5e40fdb	11	2	1	1	1	0	0
af8d2a30fa7	11	5	1	4	1	0	0
d071b7206ec	11	4	2	2	1	0	0
cdbb1de60f8	11	29	10	19	2	0	0
794c0b10ab7	10	22	16	6	3	0	0
e1a6365ded4	10	6	5	1	1	0	0
d0124858d9b	10	6	3	3	2	0	0
f46becd021f	10	13	8	5	2	0	0
68e6fbe99ea	10	3	3	0	2	0	0
7d4ecc2ca69	11	9	9	0	2	0	0
3dac3167b55	21	19	16	3	1	0	0
fb641beec9b	09	1659	830	829	1	1	1
47c63a18b9e	08	70	69	1	1	0	0
696d0d9f33a	07	1819	1819	0	0	2	0
25d3b35591c	21	4	2	2	1	0	0
13e8aedf4cc	20	22	14	8	3	0	0
c6628ef2ba1	20	2	1	1	1	0	0
f087b0d5d7b	20	3	2	1	1	0	0
fa1f1d813d5	20	14	7	7	1	0	0
2f3b8805c2c	19	115	16	99	7	0	1
3521128a324	16	8	5	3	1	0	0
7c8589da515	13	2	1	1	1	0	0
7c95df0f58d	13	522	397	125	8	5	0
26e417d80f8	11	79	7	72	1	0	0
bcf574a6289	10	17	4	13	1	0	0
6ce58166324	09	9	6	3	1	0	0
6372cea472f	08	22	2	20	1	0	0
769b0f87976	07	14	13	1	1	0	0
04897143509	16	2805	1372	1433	8	0	0
78dbdf7e307	16	15	8	7	1	0	0
b05f96eedb6	17	32	21	11	1	0	0
e36160b098b	17	64	11	53	2	0	1
7c5db48f146	13	54	28	26	2	0	0
e9617a98602	15	33	12	21	1	0	0
9e889fd2b13	15	17	13	4	2	0	0
19825915399	14	213	0	213	2	0	1
b47806eb7cd	14	17777	9168	8609	49	0	0
796bb0cddcd	01	4	1	3	1	0	0
c08e3661dba	20	60	57	3	1	0	0
21dc40a15a5	19	11	8	3	1	0	0
c2f878d9e4d	19	39	38	1	1	0	0
5f9a204b846	18	84	9	75	1	0	0
9bf7690f2aa	17	216	136	80	1	0	0
1b699f81dc0	10	159	104	55	1	0	0
15bed848d44	20	1114	530	584	5	1	2
ac3071fb407	20	524	0	524	2	0	2
af7b1c3a3e9	20	185	96	89	3	0	0
27b68507c9d	16	134	124	10	4	0	0
53f6b3af8a0	17	4	2	2	1	0	0
db0fcbacc2d	16	33	11	22	1	0	0
a4bdb7bf469	15	4	2	2	1	0	0
c9edf2c4e24	14	1	1	0	1	0	0
528fdc6952a	14	15578	8058	7520	34	0	0
656fcbf6451	14	32	26	6	2	0	0
39375f5989b	15	68	63	5	2	0	0
b56c7924a24	15	345	263	82	6	0	0
73477817f37	11	34	17	17	7	0	0
8a704e7e88a	11	6	3	3	1	0	0
30fd372a1b7	10	13	7	6	3	0	0
7a007846f4f	18	72	45	27	3	1	0
d82944ec07f	18	54	44	10	2	0	0
eba70c64184	18	353	183	170	7	1	1
1eb7f57bc1e	17	27	22	5	2	0	0
70975af10b3	15	2	1	1	1	0	0
c1ca300b8f6	15	2	1	1	1	0	0
b29da84e67c	15	234	15	219	5	1	1
e226b181c27	15	64	56	8	7	1	0
1b0da87c96a	14	15	8	7	4	0	0
dd40def7815	14	132	79	53	12	1	1
050eb5acc93	12	58	48	10	6	2	0
7d5b5a11711	21	84	45	39	4	0	0
59bd424447a	21	16	12	4	1	0	0
7a42f7131f3	20	40	24	16	6	0	0
9af58653463	22	40	24	16	1	1	0
87643ab82ac	15	348	245	103	3	0	0
da7b88560b8	21	90	52	38	1	0	0
ba31d12548d	16	56	38	18	3	0	0
328307a9f02	09	7	4	3	1	0	0
69143480e5f	22	460	268	192	16	0	0
6f3ff4c759a	15	203	157	46	8	0	0
898435a6b22	20	13	6	7	2	0	0
d994ff25017	09	25	10	15	2	0	0
f1837e273ce	23	199	75	124	8	0	0
5990d2cb4c5	23	154	120	34	7	1	0
b2ed181652a	21	325	151	174	13	1	2
56af2081416	18	4	4	0	1	0	0
