Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
326a8776a57	20	740	418	322	8	2	0
32ef2cbde79	14	48	42	6	6	3	0
34aec20586a	15	40	31	9	1	0	0
7d1e2ed53c7	15	239	180	59	7	0	0
89c0ee15651	12	17	8	9	2	0	0
d777f0119f4	12	54	54	0	3	1	0
fc892880c82	11	113	55	58	2	0	0
704161af7a0	09	363	185	178	3	1	1
8f23807e00a	09	26	21	5	3	1	0
81690c7e01e	16	11	9	2	1	0	0
0d0887908fc	15	343	182	161	12	0	0
c1cf2443f5b	13	219	105	114	7	0	0
f5d130b8067	15	28	16	12	2	0	0
35fd5fac01d	15	6	3	3	1	0	0
b5ddd44274d	15	17	12	5	1	0	0
face007f9e3	15	2	1	1	1	0	0
e11dccf2bd3	16	267	120	147	2	0	0
1e8388bdf13	15	14	7	7	1	0	0
7e2630ac256	15	123	47	76	1	0	0
8de09164c65	14	5	2	3	1	0	0
84872de57e0	14	54	27	27	1	0	0
0478beaffdb	14	104	53	51	1	0	0
440532a9b85	14	4	2	2	1	0	0
0f23d260112	13	65	65	0	2	1	0
78abaf1b490	13	12	11	1	1	0	0
6e9210b70c4	13	8	0	8	1	0	0
5793ac8d0ad	14	2	1	1	1	0	0
81e7661ecc4	14	20	13	7	1	0	0
42a7496983f	13	43	41	2	1	0	0
3e52a936808	13	2	1	1	1	0	0
bc286e776d7	12	53	28	25	3	0	0
0420215454f	19	7	6	1	1	0	0
8eea7733a43	19	3	1	2	1	0	0
7e6d58d6eda	18	10	5	5	1	0	0
6a31bf607a1	18	7	1	6	1	0	0
e684a04cdb0	18	4	2	2	1	0	0
b63caae6840	18	53	30	23	1	0	0
50b23eebe34	18	13	7	6	2	0	0
f650e8e56f4	14	101	73	28	6	0	0
3b2f7559ef4	09	27	18	9	3	0	0
3d46cecda06	09	4	3	1	1	0	0
0edf90ab47a	11	94	94	0	1	0	0
95c558c745c	15	10	5	5	1	0	0
d2fc1af81c2	14	46	26	20	2	0	0
453107fa3b9	13	78	37	41	1	0	0
732eb3ecdcf	12	170	127	43	4	0	0
b9b2f05e4af	12	0	0	0	2	2	0
8d717023533	10	44	30	14	3	0	0
acd6ac25a1d	09	16	8	8	5	1	0
ee4a4eb254a	16	86	53	33	4	0	0
b97c5ec8bb9	16	24	17	7	2	1	0
2582e507713	15	5	3	2	2	1	0
6d11716df10	15	29	22	7	1	0	0
a75e42b9cca	14	15	13	2	1	0	0
e1931bb477d	14	4	1	3	1	0	0
dfb32cd21c2	09	4	2	2	1	0	0
b23c1a20262	15	27	24	3	1	0	0
28c820adf73	15	11	6	5	2	0	0
d5524c944c4	15	47	47	0	1	0	0
5f7724ed3bc	14	37	15	22	1	0	0
f7c7a837d9a	14	4	2	2	1	0	0
050ee3c3830	14	38	32	6	3	0	0
039311299a3	13	2	1	1	1	0	0
2c83e8b3d27	12	6	3	3	1	0	0
09d26a12745	12	57	54	3	3	1	0
f08ab2b6106	17	37	33	4	3	0	0
097bb3674ec	17	9	9	0	1	0	0
6ae20f1a485	17	7	7	0	1	1	0
49c31865cd4	16	147	104	43	6	0	0
eed671836b8	16	52	52	0	1	0	0
0ca4c0af7d6	13	338	0	338	5	0	5
94da01243cc	13	338	0	338	5	0	5
2407b672eea	09	47	47	0	2	0	0
c8e7e4838d4	18	68	51	17	3	0	0
fea7d1f6edc	17	34	34	0	3	0	0
dca30147d4a	16	4	2	2	2	0	0
5e1e428aca8	15	2	1	1	1	0	0
b3a04d914fb	15	49	41	8	2	0	0
0ccba82a9c1	11	55	13	42	1	0	0
a0e2c2c990f	10	15	3	12	3	0	0
0a97aaef175	09	2	0	2	1	0	0
28fa102e831	14	43	29	14	1	0	0
9276542063e	13	16	0	16	1	0	0
17f0b143c5b	16	7	3	4	2	0	0
23efa06af36	15	6	5	1	1	0	0
911f2cdfbc4	14	41	27	14	4	2	0
e5ecd8d5d7f	13	6	5	1	1	0	0
58a50320eb1	12	58	34	24	1	0	0
001193400a6	09	33	13	20	1	0	0
0429cc111c2	09	17	7	10	1	0	0
e236852c2ef	19	57	32	25	1	0	0
3352bd65763	18	11	7	4	2	0	0
f6ecd1a7c57	18	28	25	3	3	1	0
a23721aa664	16	241	122	119	2	0	0
fde8a583b2a	15	8	3	5	1	0	0
4b63131ee9a	15	10	8	2	1	0	0
92043d36153	14	16	13	3	2	0	0
568b5e852d6	17	49	33	16	2	0	0
6b3da41d833	16	40	25	15	3	1	0
7ecaf95ee0d	14	2	1	1	1	0	0
2eec68b98ae	14	141	141	0	1	1	0
b5465844938	12	18	16	2	2	0	0
f92e6e67f66	12	7	6	1	1	0	0
062bd930c1c	15	15	5	10	4	0	0
43ae35e2e0f	15	18	18	0	1	1	0
577a8b08060	12	216	164	52	8	0	0
d6a948fbec1	17	25200	12592	12608	2	0	0
dd46cb65444	16	76543	76543	0	1	1	0
4cc93b5d9df	16	15	10	5	2	0	0
1a3051ba775	15	2	1	1	1	0	0
33c3031f015	13	9	4	5	1	0	0
85bd2cd0f1c	15	91	24	67	2	0	0
12e2c42ef31	14	329	245	84	2	0	0
c342cfe08a8	09	15	13	2	1	0	0
72410a9151a	16	109	67	42	1	0	0
a8b6b78f7a5	16	40	27	13	1	0	0
d938e0ec77b	15	10	9	1	1	0	0
7d3c4cca1cb	12	81	56	25	1	0	0
eb8249aabdc	18	89	57	32	3	0	0
605ec0690a5	15	267	184	83	4	1	0
69ba6d30cf7	15	4	2	2	1	0	0
75292f8b7b1	15	86	62	24	3	0	0
dea637c343d	15	29	20	9	2	0	0
dd1f9fcd34c	13	2	1	1	1	0	0
2444a0539c2	13	8	5	3	1	0	0
f61ae5fffb1	19	7	5	2	1	0	0
1d0eccbc337	16	10	9	1	2	0	0
5d3cccf96c6	15	1	0	1	1	0	0
ad10df5acf9	15	2	1	1	1	0	0
d05407d57de	15	11	8	3	1	0	0
3f31ef3a9ec	15	4	4	0	1	0	0
e294baba849	15	42	41	1	4	2	0
b0770f49753	15	84	58	26	2	0	0
207328816e9	09	14	7	7	2	0	0
3855aa40ffc	09	84	50	34	2	0	0
f0ab54116b4	10	14	10	4	1	0	0
1216823e108	09	16	14	2	3	1	0
0a210a7bf1b	19	25	15	10	1	0	0
b1385cdac37	19	1	1	0	1	0	0
17c64f4c232	19	1200	608	592	4	0	0
363c0fec5ae	17	22	20	2	1	0	0
0459dbea420	17	28	15	13	2	0	0
02d93dcde6f	17	62	35	27	1	0	0
59a1d9d8e2d	15	27	14	13	2	0	0
df80a126f03	14	60	30	30	2	0	0
db34fb30393	14	21	16	5	2	0	0
97b23fa9b02	12	128	82	46	3	0	0
58895f5808f	12	1	0	1	1	0	0
53af3485dbc	08	24	10	14	2	0	0
77177811e4a	16	4	2	2	1	0	0
f33a35e7f19	16	17	9	8	2	0	0
5ea18a9ef0a	15	142	88	54	2	0	0
9f9317e2bd5	13	50	43	7	1	0	0
9c48b931ecc	11	64	51	13	2	0	0
0334a1fd4ff	15	13	6	7	1	0	0
f7a025e01e9	15	33	8	25	1	0	0
6d2f888ddda	15	72	49	23	2	0	0
bc5ccf68480	18	46	45	1	2	0	0
c5f60234ad9	17	104	92	12	2	0	0
17877bf27a6	16	218	156	62	1	0	0
e53408d1b28	14	87	49	38	3	0	0
97d67c2f545	15	23	14	9	2	1	0
f9b88d78362	15	4	2	2	2	0	0
2a8e6591f50	15	12656	12646	10	565	562	0
4b027b3f027	16	24	10	14	1	0	0
7a0f7b5fa34	16	38	27	11	3	1	0
44b99a9baff	12	64	41	23	1	0	0
a33ec3069dc	11	99	57	42	2	0	0
2ba371be717	15	10	3	7	1	0	0
1f4e2136dcf	17	43	32	11	3	0	0
3e7d9bf34ae	16	211	125	86	2	0	0
a356f4e43da	16	33	33	0	1	0	0
d945d98425f	13	2	1	1	1	0	0
e73801a72a6	12	20	5	15	1	0	0
f1a911cc486	12	46	31	15	2	0	0
536ce800842	17	2	1	1	1	0	0
6d0af41b88c	14	15	12	3	1	0	0
d116ae405ad	13	13	8	5	1	0	0
4d3e9d34ae5	13	52	24	28	3	0	0
12065a09fa9	16	127	60	67	7	0	0
4f8ad82df9f	14	40	15	25	3	0	0
acbca3f802e	13	66	40	26	3	0	0
c3c0a60655b	12	2	1	1	1	0	0
37d8821df0a	12	2	1	1	1	0	0
591e1967ce4	12	35	22	13	4	0	0
4cf2c2fee6f	08	30	20	10	2	0	0
b57eee916c7	07	409	270	139	2	0	0
7591225ef6f	18	2	1	1	1	0	0
0497af17cf5	18	6	3	3	2	0	0
b349587e8c1	18	81	33	48	5	0	0
b0e3b728c75	17	670	633	37	6	0	0
ab7fbe92cc1	17	16	15	1	5	4	0
086bc3b313d	18	6	3	3	2	0	0
92996dc5b61	18	69	68	1	3	1	0
f74e0dc5b57	17	42	21	21	1	0	0
617117fa8b5	17	31	13	18	3	0	0
a6b27ca8235	15	5	5	0	1	0	0
ebf33a133c3	15	4	4	0	5	0	4
2f7e66523b5	15	141	85	56	3	0	0
04184567c63	15	252	252	0	2	2	0
8ea8d156f39	18	88	73	15	6	1	0
18b39b4ba71	16	15	4	11	1	0	0
80e77b3def7	15	94	50	44	2	0	0
9609a4bc1a9	15	99	99	0	1	1	0
9976eaaa3fd	14	322	322	0	3	2	0
e27af95fb4f	13	130	128	2	5	3	0
63743b60b15	10	392	210	182	6	1	4
761cce1077a	15	8	4	4	2	0	0
30bdd21a9d2	12	56	4	52	3	0	0
b2d2a235bc9	12	98	94	4	3	1	0
43640320066	11	730	365	365	6	3	3
b7c28f8385e	11	762	378	384	11	4	3
b8101700c22	14	74	37	37	4	0	0
00774bc7268	16	31	27	4	2	0	0
dbc0d4d7309	15	5	5	0	6	5	0
da518ba4a31	15	6	1	5	1	0	0
1fef72617ba	14	1139	1096	43	5	2	0
ec26d8bd946	14	255	209	46	2	0	0
c363c833760	10	435	221	214	1	0	0
c501ca4d25d	13	4698	4698	0	1	1	0
edd77987e5c	13	250	120	130	4	0	0
bc3407358da	13	17	15	2	2	1	0
47908dfb13f	08	14	14	0	1	0	0
36ce6d192ae	08	116	116	0	1	1	0
79f0a730ed4	15	167	167	0	3	3	0
29ec7c221ac	10	29	19	10	3	0	0
84cfec00d9b	15	135	87	48	2	1	0
3ef7050930d	07	2	1	1	1	0	0
e8c28087d62	16	2	1	1	1	0	0
f12e19cdd4b	16	4	2	2	1	0	0
73558778610	20	8	5	3	1	0	0
6e54cc9709a	12	18	9	9	4	0	0
a2ef0fde996	15	771	374	397	8	0	0
837e1e57c39	12	30	30	0	1	0	0
0f2da0be827	12	4	2	2	1	0	0
f35f67b68e0	00	6	3	3	2	0	0
8f4391419ef	00	6	4	2	1	0	0
1507d0383c3	17	68	41	27	1	0	0
65cd427f1b4	17	7	6	1	2	0	0
5801fa766f9	17	172	148	24	3	0	0
245c3e6da2b	13	735	0	735	22	0	22
9b34204c96f	13	5828	0	5828	55	0	55
16ad232eeb1	23	2	1	1	1	0	0
62df8a68ad5	12	9144	0	9144	42	0	44
6d117d99ae5	16	20	11	9	4	0	0
07e2e631670	14	1	0	1	1	0	0
8b22c896cb2	14	1	1	0	1	0	0
05756962d01	14	4	1	3	1	0	0
07dd8f11cb5	12	17	9	8	1	0	0
f8323425b8d	12	194	0	194	1	0	1
7de71c3b813	11	1	0	1	1	0	0
d942a14d0bb	11	34	34	0	1	0	0
0c317060f27	10	74	27	47	5	0	0
0d4787d6fbe	08	142	51	91	9	0	0
3756ac39fba	06	5831	0	5831	55	0	55
8b1d154f56a	06	38	18	20	5	0	0
83117c7e82d	06	309	0	309	2	0	2
343c91513f2	14	18	6	12	1	0	0
b79f514059b	13	2	1	1	1	0	0
a143ebfd3c6	13	4	2	2	2	0	0
a6d1eb1492f	12	8	4	4	2	0	0
5b9156ed850	08	18	6	12	7	0	0
a9243062544	13	90	43	47	11	0	0
84241dc689d	18	4	2	2	1	0	0
9f2498aaca3	17	2	0	2	1	0	1
a3ec31d6c71	17	88	51	37	4	0	0
6233317edf3	10	2	1	1	1	0	0
f47563b6d56	10	5	2	3	1	0	0
aba1d16023e	10	4	2	2	1	0	0
73141cf65d6	07	2	1	1	1	0	0
196c913d89d	07	39	19	20	3	0	0
2926236dd50	11	15	14	1	1	0	0
f0798491f49	15	35	23	12	2	0	0
bd016b40603	15	93	71	22	2	0	0
e66960d640e	12	19	13	6	1	0	0
eb23483dffd	11	28	28	0	2	0	0
e7f5dfa64c7	11	115	101	14	3	0	0
2d3266fc1b0	11	13	7	6	2	0	0
88378772beb	12	2	1	1	1	0	0
65773619d70	11	62	21	41	1	0	0
bcbb7dcd6de	10	36	21	15	1	0	0
ad7c8d73804	17	17	4	13	1	0	0
d4b2df1c665	11	8	4	4	1	0	0
4554caa8e4f	11	16	8	8	1	0	0
fcdf895631d	11	63	3	60	1	0	0
5b65246c7ed	11	22	9	13	1	0	0
e48a520985a	15	9	6	3	1	0	0
830868b062b	15	2	1	1	1	0	0
6d496448a55	15	4	2	2	1	0	0
f0697fc5542	15	12	5	7	1	0	0
f4d2eeec3c6	15	2	1	1	1	0	0
46be5b43728	13	7	6	1	1	0	0
