Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
92ddf1b6cfe	15	197	106	91	4	0	0
9d6fe73e2d0	12	9	1	8	1	0	0
f9a7c6afa41	12	41	32	9	2	0	0
cf47c11f2be	12	143	94	49	4	1	0
d45aad6292e	07	170	161	9	3	1	0
537dcca2069	13	25	15	10	4	0	0
58288ec85d7	13	49	33	16	1	0	0
42022d3faf7	12	97	73	24	3	0	0
b3a3b84efb5	11	38	23	15	3	0	0
9e60a70afd4	11	53	32	21	6	0	0
0259ff86d58	09	65	43	22	4	0	0
c96530c4ba6	22	151	84	67	3	0	0
c2157f2329f	20	284	152	132	4	0	0
7f0b9b83ca4	16	367	232	135	3	0	0
5faf10f7a8e	13	145	132	13	5	1	0
51c8d33c75e	12	6	6	0	1	0	0
07a41f25407	12	5998	5967	31	94	92	0
819cf73e9bd	09	88	56	32	7	0	0
43e276dd0f4	08	181	109	72	9	0	0
066603bf673	08	953	167	786	6	1	0
57aaddc3414	05	552	236	316	3	0	0
489b89bf874	09	328	181	147	9	0	0
1f2608554ef	16	40	31	9	2	0	0
a8586fdc243	16	950	480	470	2	0	0
c068cdec795	16	250	96	154	4	1	0
8b82d861c2c	15	1636	1636	0	9	9	0
36fb0bc2268	12	912	458	454	18	8	8
1c789f82a3b	09	202	108	94	12	2	1
68f04b97e14	09	259	184	75	6	2	0
6d3265c8c91	16	356	218	138	12	2	2
aa289deb288	12	449	263	186	8	0	0
198abee8377	12	8	8	0	2	0	0
a1f7a48bfab	08	133	92	41	6	3	2
add085c2a00	08	197	156	41	7	2	1
e49ded60351	12	20	13	7	4	1	0
6c5f886a5eb	18	23	14	9	3	0	0
bcb9c820b12	15	319	163	156	9	0	0
1e0c734d009	09	20	10	10	1	0	0
b25bdc909ee	09	4	3	1	1	0	0
80e36d3c83c	09	16	16	0	3	2	0
e323fcf29e5	16	319	153	166	4	1	0
74e5cf036ee	12	337	180	157	6	2	1
78ab5109166	17	54	42	12	1	0	0
31e70159086	17	31	21	10	2	0	0
9b444bd1584	16	203	144	59	3	1	0
3e7a2db6af0	09	273	189	84	5	0	0
742e19b0e7c	17	140	115	25	6	1	0
9395bbb9d65	14	130	130	0	11	11	0
001ef6dd3cf	11	193	161	32	4	0	0
e021cc0761a	09	6	3	3	1	0	0
ad56f728017	09	302	190	112	4	1	0
1a83e373e29	13	54	47	7	2	0	0
57b67fd1847	13	1291	636	655	7	0	0
633f2544409	12	347	169	178	9	2	2
57836e9c902	12	14	11	3	2	0	0
b636bb6e81e	11	4825	2414	2411	3	0	0
095c677b080	09	39	19	20	2	0	0
73a9fdc3d82	09	307	212	95	7	1	0
17223a50bc4	13	36	25	11	3	0	0
6c934f6ff4d	08	8	7	1	2	0	0
5604698d874	08	314	179	135	13	5	0
0c12e624bfe	08	17	16	1	1	0	0
24e91b312da	08	11	7	4	2	0	0
91b7fe5c55e	07	5	3	2	2	0	0
2954b36d95c	12	14	12	2	3	0	0
abdfdf393ff	08	16546	8204	8342	78	6	1
3c54edf0bf9	13	1310	665	645	8	0	0
