Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
718c7e8f084	23	10	9	1	2	0	0
7b16d3a2d24	23	9	9	0	1	0	0
aff7962f8c8	23	3	3	0	2	0	0
705911db8eb	17	6	3	3	1	0	0
c2d12794ad1	17	30	20	10	2	0	0
b839b7c395b	14	1	1	0	1	1	0
7c4d796540c	14	1	1	0	1	0	0
77090e5ec6e	14	2	1	1	1	0	0
b05c7238d2a	20	2	1	1	1	0	0
feb0b5525d4	20	14	14	0	1	0	0
a77e4dc3cc9	20	4	2	2	1	0	0
2d276a39357	20	4	2	2	1	0	0
d0982edf12a	20	6	3	3	1	0	0
2f3e5e367c7	21	5	2	3	2	0	0
6cbbe0adc51	21	2	1	1	1	0	0
4e7704e13fe	21	30	21	9	1	0	0
c51427cf296	22	2	1	1	1	0	0
7c5575b90bb	19	22	14	8	1	0	0
09d09572ee1	19	2	1	1	1	0	0
c2e0714df3b	18	2	1	1	1	0	0
e4804091245	18	1	1	0	1	0	0
fe1f82d520b	18	2	1	1	1	0	0
0505bfa78e1	17	24	15	9	1	0	0
3e729f028c6	17	2	1	1	1	0	0
9f37608dc22	17	2	1	1	1	0	0
b22c653f1a2	17	9	5	4	1	0	0
8b1243217d6	17	10	7	3	3	0	0
d499c260e4c	16	5	5	0	1	0	0
d44b0171408	16	25	20	5	3	0	0
db4616a07b8	15	159	56	103	19	0	0
c368801ea5a	14	1	1	0	1	0	0
a992f49f45b	14	47	25	22	4	0	0
590d7cdd9a1	14	65	65	0	3	1	0
7198d6ab2eb	14	12	6	6	2	0	0
1a73276c372	22	0	0	0	1	0	0
1fecf9fb279	22	10	6	4	1	0	0
8f761a1d531	19	7	5	2	1	0	0
dc7b0538530	18	70	22	48	2	0	0
79f81c6f0b0	18	138	39	99	3	0	0
6add407b5bc	17	4	2	2	1	0	0
846cde1faa3	18	66	60	6	2	0	0
e3830b21793	17	101	62	39	1	0	0
820f5c59a25	17	25	14	11	2	0	0
90bf1d2162d	19	6	6	0	1	1	0
20eea5ac217	18	0	0	0	1	0	0
6e26a9f9301	17	60	29	31	6	1	1
b0f11a32242	16	18	14	4	2	0	0
bf233cd4bf0	15	0	0	0	1	0	0
4502f5ad83d	22	36	36	0	4	2	0
b6be8bdd0aa	22	865	419	446	5	0	2
654cd59a6c9	21	4515	1584	2931	19	1	2
8a4bf00854c	20	1368	1358	10	11	1	0
305a8930ece	19	5	5	0	1	0	0
155a91468b1	19	2	1	1	1	0	0
269c18c6a03	19	72	31	41	3	0	0
f6a36de8da3	19	73	36	37	2	0	0
5999859ee1e	19	53	36	17	6	0	0
e597328551b	18	75	39	36	6	0	0
e36c5c70f6a	18	62	38	24	3	0	0
bc725951ee8	18	55	29	26	4	0	0
56d34c5ecef	18	105	78	27	4	0	0
8a9036d78b2	18	78	37	41	8	0	0
fa65672bb78	17	149	99	50	9	0	0
7ddb454c909	17	142	79	63	16	0	0
40014ec5222	17	2	1	1	1	0	0
92deb58aacd	17	7	2	5	2	0	0
884900062e0	17	7	2	5	2	0	0
0fb85deb974	16	0	0	0	1	0	0
68ef8bd0156	16	0	0	0	1	0	0
1474a001734	15	0	0	0	1	0	0
ba5e9e2b662	23	10	5	5	3	0	0
cb0884e98de	22	0	0	0	1	0	0
5d9fb29e66c	21	49	49	0	3	3	0
ff7af9f33a0	21	326	314	12	8	1	0
5252a26779f	21	126	110	16	4	2	0
b63e0c10d6f	20	23	10	13	4	1	1
aaba1f5277f	18	2	0	2	1	0	0
32817ae9b55	18	4	3	1	1	0	0
f98a145e7f9	17	2	1	1	1	0	0
16b01efa785	17	0	0	0	1	1	0
c42f155994b	17	10	7	3	2	0	0
3f2a21d63d7	14	2	1	1	1	0	0
c3acfa05c66	21	29	22	7	6	0	0
8463c3c8b76	19	5	3	2	1	0	0
3967120e964	16	32	29	3	3	0	0
75a6d588248	13	10	5	5	2	0	0
f23dad60d2f	12	2	2	0	1	0	0
0011e45bf13	12	26	13	13	1	0	0
8ea786c4cbb	15	4	2	2	1	0	0
f86b0d4c0a7	15	10	6	4	2	0	0
57cb1d9a8f4	14	40	25	15	3	0	0
514a71213e0	17	122	118	4	2	0	0
a74d8ed18ab	20	2	1	1	1	0	0
849f337d8cd	20	100	0	100	1	0	0
1a65415416f	20	1798	0	1798	9	0	8
c7538b63b11	22	177	89	88	9	0	0
08c17c58874	18	6	3	3	2	0	0
fcf43d6cc7c	18	381	178	203	6	0	0
b1262066487	19	18	18	0	1	0	0
b82efcb57cb	20	176	120	56	9	0	0
e6b0de01a04	20	19	10	9	1	0	0
2ed496f8499	19	20	14	6	1	0	0
675522242a8	19	2	2	0	2	0	0
267ee6bc247	14	2	2	0	1	0	0
6fb3448e261	14	6	4	2	1	0	0
