Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
0fd7e9b7e05	09	8	8	0	1	0	0
3e950e8e50a	10	9	3	6	2	0	0
b66c4b86ed4	10	2	2	0	1	0	0
e35a097f004	09	2	1	1	1	0	0
c5bca3220c7	09	229	120	109	10	0	0
f9edb0e43c2	08	8	5	3	3	0	0
e6102a7b76b	17	2	1	1	1	0	0
efe9a37af71	16	793	395	398	88	0	0
3b3f1400bd8	16	6196	3681	2515	7	0	0
a95b5776b44	16	6	3	3	1	0	0
b6f5e0a576a	14	9	5	4	2	0	0
4ec90d3a932	13	499	333	166	20	0	0
9576b215d97	13	103	58	45	5	0	0
0eccbcd5908	13	455	316	139	15	0	0
90388aa765e	13	152	99	53	8	0	0
697666eeae7	13	66	47	19	8	0	0
d7158790f02	13	29	13	16	5	0	0
4048e40988d	08	168	87	81	17	0	0
a0c8898f6fb	08	13	9	4	1	0	0
95ee59ab8d5	08	26	14	12	4	0	0
b3e955a36e9	08	557	367	190	13	1	0
c03daf8a2e9	07	13	10	3	3	0	0
2e676827b27	16	3669	2655	1014	26	18	1
6ee31039cc4	16	2	1	1	1	0	0
d0a660d6a8f	15	98	90	8	4	1	0
c1c4130e0eb	15	30	23	7	3	0	0
05e7a72f9d5	14	34	32	2	2	0	0
4beef55151b	11	2	1	1	1	0	0
b4c6648d744	08	47	44	3	2	0	0
fd37131d999	09	4	3	1	1	0	0
749f113b0d6	16	2	1	1	1	0	0
65af3717737	11	2	1	1	1	0	0
8aa5eaff05f	09	4	2	2	1	0	0
e8027cc6c00	14	9	7	2	2	0	0
3e0023f2dee	13	3	2	1	1	0	0
82871b81750	13	159	111	48	8	0	0
c5764debb97	17	45	31	14	1	0	0
c3ce11e8f00	16	37	37	0	1	0	0
235dc354acb	14	1	1	0	1	0	0
4b65ae58c1a	14	25	23	2	2	0	0
22c1e71385c	14	52	52	0	1	0	0
94b22fff1cb	16	2	1	1	1	0	0
49afb172ef1	15	88	79	9	4	1	0
f0929fefe1e	15	26	22	4	3	0	0
bd99ce8a02b	15	354	264	90	1	0	0
3e5e074755a	15	30	23	7	3	0	0
4ebe1fc72a0	14	7	6	1	1	0	0
616b8641ee7	14	21	19	2	2	0	0
5878b6e4729	12	17	16	1	2	0	0
466ed7bc860	11	2	1	1	1	0	0
3e56f78593f	08	43	37	6	2	0	0
c33211a1086	11	2	1	1	1	0	0
79bf79b5f62	11	38	32	6	3	0	0
e27180dd3f7	14	50	37	13	2	0	0
66e36c2be31	11	2	2	0	1	1	0
f9771c5497e	10	340619	340602	17	7	2	0
0a020cf4860	09	10	4	6	1	0	0
ba32ea6893c	09	4	3	1	1	0	0
d8e530bd50e	08	2	1	1	1	0	0
785febc7046	11	102	102	0	1	1	0
43250d32956	14	52	36	16	1	0	0
7763debc804	16	2	1	1	1	0	0
2c7b0977e3d	15	42	40	2	3	0	0
57effbaba08	11	533	365	168	3	0	0
8ce843354a5	11	3	3	0	1	0	0
8bd07da04ed	09	11	9	2	1	0	0
eb303ae8841	09	4	2	2	1	0	0
2a46ae789b6	08	4	2	2	1	0	0
c0c2f928803	11	4	2	2	1	0	0
b14215f28a0	11	2	1	1	1	0	0
cc7a1d05716	10	94	93	1	5	2	0
8f81fab01f0	10	67	54	13	7	1	0
be759a72947	09	2	1	1	1	0	0
5635ea07230	15	6	3	3	1	0	0
263d0d8bab4	15	4	2	2	1	0	0
24ea9b9d2e8	14	56	45	11	2	0	0
84576dcb732	14	35	21	14	2	0	0
7e5187a3c3a	12	370	242	128	6	1	0
aa18ffa2c5a	15	6	3	3	1	0	0
07c1b5679d6	15	13	1	12	1	0	0
cc32373d8ee	15	182	0	182	4	0	4
bf018c1e7e9	15	19	10	9	1	0	0
487b4ab064c	13	101	101	0	1	0	0
e8475188888	13	68	9	59	5	0	0
0157fcd8510	12	2940	1311	1629	10	0	0
3b655a41469	11	285	136	149	5	1	2
a48750461b3	10	785	51	734	4	1	1
d5edc825654	15	34	18	16	4	0	0
10f5abe1407	10	8	6	2	1	0	0
73d457e0068	09	120	113	7	5	1	0
a01515ae459	10	13	6	7	1	0	0
155f20a0be9	10	5	4	1	1	0	0
538b03c8bc1	11	159	116	43	4	0	0
9fd55ea81e0	10	11	6	5	1	0	0
0a0e28c8d0e	10	31	23	8	3	0	0
e5f7308a638	10	6	3	3	1	0	0
abedddbe31e	16	2	1	1	1	0	0
e3d6f5959a6	16	6	5	1	1	0	0
00b88b3fdbd	16	356	307	49	8	1	0
3229ea59054	15	37	31	6	4	0	0
604282be575	13	35	25	10	3	0	0
f1b538aa645	11	221	160	61	6	0	0
59bdaa556fb	10	63860	35486	28374	8	0	0
4cdfc0bbdc5	10	27	25	2	2	0	0
aaacec4e3e2	10	55	28	27	2	0	0
1198354d93a	09	40	28	12	4	0	0
d97fce596af	09	242	237	5	3	1	0
95d9488a38a	11	87	67	20	3	0	0
59bd57c44c7	10	31	24	7	1	0	0
6c18dca23e4	09	7	5	2	1	0	0
b78bcaf2e5a	09	52	0	52	8	0	8
