Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
03a59db2dcd	08	24	0	24	38	0	38
3671e5fd350	08	18721	0	18721	281	0	282
1d08a6da2cb	08	336	0	336	4	0	4
8424406a35c	08	2547	0	2547	1	0	1
df8da2abe29	08	236740	0	236740	45	0	45
943d0ddde48	07	9	9	0	2	1	0
adca5ad50f5	08	338	272	66	13	4	0
a7d26525db7	16	79	60	19	5	2	0
6da848213ea	14	237274	237155	119	23	4	1
f70723eaa73	13	237843	732	237111	28	16	0
31f2fbf4cb5	06	239954	239696	258	27	2	0
97750687d33	10	551229	15	551214	8	0	0
eec102654b4	09	8	4	4	1	0	0
c087f3b527a	09	551786	551523	263	21	4	2
b92fc8190db	13	1026	628	398	31	9	0
cd106baa353	07	79	39	40	5	0	0
a5cb790902d	07	0	0	0	1	0	1
78770ab0389	07	880	761	119	24	10	1
5adaa92c2e1	16	890	324	566	137	0	125
b63b2a698a6	07	984	860	124	108	58	1
fb3fba7d65b	07	478	337	141	82	34	0
21c8401b23f	17	973	472	501	176	0	120
833f5af0093	08	363	186	177	15	0	2
be0f42859fd	15	565	452	113	95	67	1
0d2592489b3	16	440	196	244	7	1	6
31110c37a27	13	0	0	0	3	0	3
2f6afbd5ac8	09	3835	2353	1482	187	171	0
d5e47176c78	21	0	0	0	2	0	2
0b96e0e0494	14	72974	791	72183	55	0	49
e3cb99384a5	14	8	8	0	0	0	0
3858095b635	14	0	0	0	0	1	0
fc2e9a9ead0	14	46976	6617	40359	145	96	52
