Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
80bde998e8c	10	7	5	2	1	0	0
3c8a147c136	16	10	8	2	1	0	0
c6f424225d1	16	2	1	1	1	0	0
d13f91aaea1	16	2	1	1	1	0	0
24499845abe	15	1	1	0	1	0	0
59b497ba567	14	3	2	1	1	0	0
fd3b0691bb5	13	4	0	4	1	0	0
87fd0533e88	09	14	14	0	2	1	0
8324a927148	00	11	11	0	1	1	0
dc9f26cce6b	00	107	0	107	2	0	1
366ed298221	00	57	0	57	4	0	3
ca0c9e2a0f1	00	2	1	1	1	0	0
2cd3edc100f	00	20	20	0	2	1	0
811cd03d61f	23	20	18	2	1	0	0
df14ee0650f	22	1	1	0	1	0	0
a063d2bb4f9	22	2	1	1	1	0	0
ea11d36a397	22	6	6	0	1	0	0
14cd1afb5cb	22	7	7	0	1	0	0
18b512b2569	16	3	3	0	1	0	0
3ebf11af206	16	107	107	0	2	1	0
95a9fbca2e3	16	1402	1401	1	2	0	0
edcaca59677	13	2	1	1	1	0	0
c1112081506	23	2	1	1	1	0	0
86e8fe4de68	23	3	3	0	1	0	0
c814bdd936e	22	1	1	0	1	0	0
ca0015a606d	22	2	1	1	1	0	0
80b1c1947cc	22	130	129	1	2	1	0
cb0c6713b3d	19	4	2	2	1	0	0
2972a84c780	14	126	63	63	1	0	0
08018bd66b3	08	16	12	4	2	0	0
12892a63d17	23	4	3	1	1	0	0
a15ae1d0a01	23	20	18	2	2	0	0
847fe14aea4	18	2	1	1	1	0	0
c8eace9da9d	02	53	50	3	2	0	0
eba3bb46469	16	31	30	1	2	1	0
a36b0da65b3	14	2	1	1	1	0	0
1d36e3026a9	10	3	1	2	2	0	0
8b6ba1fac81	22	93	93	0	1	1	0
8a63ed93c2d	22	702	351	351	4	1	1
1455711ee3f	22	4	2	2	1	0	0
171eafbdc9b	22	1	1	0	1	0	0
46a0e551246	20	4	2	2	1	0	0
407ee982650	20	9	6	3	1	0	0
4ecc4728e25	20	17	10	7	1	0	0
6a9e59f9c39	20	52	28	24	1	0	0
5a87c832a36	20	56	45	11	3	0	0
ce493b5dc89	16	7894	6770	1124	8	2	0
407b571ae51	13	2	1	1	1	0	0
71f0cccd295	13	2	1	1	1	0	0
8eb801d48d7	10	3	2	1	1	0	0
c9663697067	10	9047	9038	9	5	1	0
1b8ddff29d0	17	80	49	31	6	4	0
