Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
e2f1e50c604	07	28	14	14	3	0	0
5f08c3cfa1e	09	1133	948	185	11	3	0
d483acc5d9c	16	7	0	7	1	0	0
3966e4e7a50	21	9	4	5	1	0	0
07b19973888	19	104	94	10	3	1	0
b084322f52e	10	86	82	4	3	1	0
a599aeb2a81	12	44	21	23	2	0	0
fed8cff1d01	08	67	66	1	2	1	0
7becf156a92	17	66	65	1	2	1	0
bdf7ac2c5dc	18	167	154	13	4	1	0
bb1c03989f8	17	19	18	1	2	0	0
ce306830121	17	5	5	0	1	0	0
d68ee22dda6	17	93	85	8	2	1	0
5daa701aba4	15	96	87	9	2	1	0
be5a8e24c2f	17	61	37	24	5	0	0
86d4cf71d6a	11	45	45	0	1	1	0
5070eccf1b4	11	64	62	2	2	1	0
ddb02b978d2	07	3	2	1	1	0	0
085a09874b0	07	195	86	109	4	0	0
d13887512e3	10	253	230	23	4	1	0
401ff102955	16	2	1	1	1	0	0
3d51646c4b9	16	8	6	2	1	0	0
6d70a4ae162	09	11	9	2	2	0	0
1e0ce5d1bdf	19	62	43	19	9	0	0
c2c08196d80	18	52	28	24	3	0	0
60b45dcbb66	18	10	9	1	2	0	0
535e109a3ab	18	6	5	1	2	0	0
77cfbd9f2d2	17	12	2	10	1	0	0
2ae9b698714	13	70	69	1	2	1	0
1f3e4a76f9c	13	70	69	1	2	1	0
81a4edcf6af	13	17	11	6	4	0	0
a039bad299f	21	32	7	25	3	0	0
dceebbfa31a	07	727	696	31	6	2	0
49f16c4575b	07	117	54	63	1	0	0
ab072ee4169	12	13	10	3	1	0	0
5b43c63c88a	16	52	51	1	2	1	0
83aae35b8ee	16	4	2	2	1	0	0
94d337eb0fb	13	148	111	37	2	1	0
d927fbc9ab0	15	441	426	15	4	2	0
ab32e9e0434	18	5	4	1	1	0	0
feff9bbb67c	17	8	1	7	1	0	0
3f4062309e6	18	4	0	4	1	0	0
9da830e8959	20	1	1	0	1	0	0
23514fc9464	16	3	1	2	1	0	0
1595a6e885e	16	9	4	5	1	0	0
a20872045a1	16	28	7	21	1	0	0
33b7fc250f0	16	8	4	4	2	0	0
42ea068a1a6	13	105	105	0	1	1	0
836344c90ed	15	57	48	9	2	0	0
f9a47debfca	19	408	294	114	5	2	1
4a38795b6f9	19	61	61	0	1	1	0
48650639248	18	467	251	216	38	0	0
70884875c9c	12	18	14	4	2	0	0
ca6ededbd1a	07	10	7	3	1	0	0
c8108aad832	08	4	2	2	2	0	0
787f62de8c9	14	92	60	32	1	0	0
fed8cff1d01	08	67	66	1	2	1	0
7becf156a92	17	66	65	1	2	1	0
bdf7ac2c5dc	18	167	154	13	4	1	0
bb1c03989f8	17	19	18	1	2	0	0
ce306830121	17	5	5	0	1	0	0
d68ee22dda6	17	93	85	8	2	1	0
5daa701aba4	15	96	87	9	2	1	0
be5a8e24c2f	17	61	37	24	5	0	0
86d4cf71d6a	11	45	45	0	1	1	0
5070eccf1b4	11	64	62	2	2	1	0
ddb02b978d2	07	3	2	1	1	0	0
085a09874b0	07	195	86	109	4	0	0
d13887512e3	10	253	230	23	4	1	0
401ff102955	16	2	1	1	1	0	0
3d51646c4b9	16	8	6	2	1	0	0
6d70a4ae162	09	11	9	2	2	0	0
1e0ce5d1bdf	19	62	43	19	9	0	0
c2c08196d80	18	52	28	24	3	0	0
60b45dcbb66	18	10	9	1	2	0	0
535e109a3ab	18	6	5	1	2	0	0
77cfbd9f2d2	17	12	2	10	1	0	0
2ae9b698714	13	70	69	1	2	1	0
1f3e4a76f9c	13	70	69	1	2	1	0
81a4edcf6af	13	17	11	6	4	0	0
a039bad299f	21	32	7	25	3	0	0
dceebbfa31a	07	727	696	31	6	2	0
49f16c4575b	07	117	54	63	1	0	0
ab072ee4169	12	13	10	3	1	0	0
5b43c63c88a	16	52	51	1	2	1	0
83aae35b8ee	16	4	2	2	1	0	0
94d337eb0fb	13	148	111	37	2	1	0
d927fbc9ab0	15	441	426	15	4	2	0
ab32e9e0434	18	5	4	1	1	0	0
feff9bbb67c	17	8	1	7	1	0	0
3f4062309e6	18	4	0	4	1	0	0
9da830e8959	20	1	1	0	1	0	0
23514fc9464	16	3	1	2	1	0	0
1595a6e885e	16	9	4	5	1	0	0
a20872045a1	16	28	7	21	1	0	0
33b7fc250f0	16	8	4	4	2	0	0
42ea068a1a6	13	105	105	0	1	1	0
836344c90ed	15	57	48	9	2	0	0
f9a47debfca	19	408	294	114	5	2	1
4a38795b6f9	19	61	61	0	1	1	0
48650639248	18	467	251	216	38	0	0
70884875c9c	12	18	14	4	2	0	0
ca6ededbd1a	07	10	7	3	1	0	0
c8108aad832	08	4	2	2	2	0	0
787f62de8c9	14	92	60	32	1	0	0
