Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
c6347dcfb43	02	41	41	0	1	1	0
f4e34f1b76f	17	1	0	1	1	0	0
641f2bedf3d	01	2	1	1	1	0	0
ded97eb892a	23	2	2	0	1	0	0
e84edd2593d	23	38	27	11	2	0	0
823a4433213	23	175	88	87	3	0	0
ae648a44c48	21	295	246	49	30	1	0
6ed721afd2a	11	50	20	30	2	0	0
3a160646dfe	11	4	2	2	1	0	0
b159c6d62e5	10	50	38	12	3	0	0
2335c4bb414	10	18	9	9	0	0	0
b480cfaf346	09	12	9	3	1	0	0
a056ef1f398	09	11	5	6	3	0	0
5b014e07251	08	4	2	2	1	0	0
95eb729e6ff	01	16	10	6	1	0	0
236b217cd70	00	25	13	12	1	0	0
d51a0c353b1	00	1	1	0	1	0	0
7244b9cee8d	18	51	37	14	5	0	0
a639cf7d84c	18	81	81	0	1	1	0
83152d174cb	16	2	1	1	1	0	0
86fba381fde	01	102	86	16	2	0	0
cbcf4fe768f	01	2	1	1	1	0	0
3e696d189ca	23	4	2	2	2	0	0
9c70b09e0ac	23	2	2	0	1	0	0
b54da8a10f3	00	104	70	34	13	0	0
829735e738d	15	241	204	37	3	0	0
35f4182cee0	15	25	15	10	1	0	0
6ee73a2fee7	15	276	43	233	2	0	0
189dd8f8034	15	78	39	39	10	0	0
60efa608d6b	23	1	1	0	1	0	0
a56a95b6522	10	20	10	10	1	0	0
4a1efb2b9c0	09	43	35	8	2	0	0
dd93c53c4e2	10	97	53	44	1	0	0
2f220248062	23	918	705	213	21	4	0
c0c4bd4efac	10	2	2	0	1	0	0
889620dcd25	09	18	12	6	2	0	0
1e2d7776010	09	1	0	1	1	0	0
6a6a70e80e7	14	1	0	1	1	0	0
00bbe958c41	22	2	1	1	1	0	0
d3f3f2e455a	00	1	1	0	1	0	0
153629c99a8	01	23	10	13	2	0	0
ed65b7b375d	19	13	6	7	1	0	0
fcad5e35fd0	17	3	3	0	1	0	0
4c1d4411591	19	2	0	2	1	0	0
c06af229dcb	14	1865	1811	54	17	0	0
81425598db4	14	6	1	5	1	0	0
73fcd43b85c	14	3	2	1	1	0	0
8b754a9e02c	22	64	64	0	1	1	0
55c1546f013	01	2	1	1	1	0	0
10e7c52a70a	01	17	9	8	1	0	0
0be4812c353	23	4	2	2	1	0	0
b49bec55806	21	94	85	9	3	0	0
0a72ac37708	21	168	2	166	7	0	1
97cf216c747	13	54	33	21	5	0	0
b5db0767d51	12	2	1	1	1	0	0
f8109988715	12	8	4	4	1	0	0
0a127d6a694	21	18	13	5	3	0	0
8153a216137	02	94	73	21	2	0	0
b5d58f11cb9	01	6	5	1	1	0	0
e20d0c1cd09	00	66	59	7	3	0	0
ae2ac4fb1b5	23	94	48	46	1	0	0
d01b87d9c44	22	13	12	1	1	0	0
3742aeea4c6	20	5	4	1	0	0	0
c82ab45ee6d	20	12	6	6	2	0	0
cb1a21b1d40	20	387	257	130	15	0	0
6ab4a4c05c2	00	202	175	27	3	0	0
97287235081	00	4	2	2	1	0	0
74e8fa2e577	02	101	75	26	2	0	0
43da0e6fe47	17	1	1	0	1	1	0
c96ef84427e	17	3	1	2	2	0	1
27ef0b0903e	02	3	2	1	2	1	0
764dfbb1bf1	02	2	1	1	1	0	0
