Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
de978991d8d	20	17	12	5	1	0	0
766430c7430	02	5	5	0	1	0	0
186364e24f5	01	4	2	2	1	0	0
64b41680fd0	16	40	40	0	1	0	0
0110c90382f	05	1771	1119	652	104	3	0
16788f461ae	18	1661	846	815	12	4	3
b9d777734d0	01	13	5	8	3	0	0
e38fc6cc843	18	14	14	0	1	0	0
588ef72ce02	18	8	7	1	1	0	0
bcff53dfb57	17	5	5	0	1	0	0
79d9f62946c	17	7	5	2	1	0	0
6ac8c559897	05	276	223	53	11	0	0
b88c48177a5	04	8	8	0	1	0	0
71333b3f5b1	19	229	203	26	3	1	0
13d6a1f67fe	04	131	106	25	10	0	0
