Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
b3349eb33ab	20	6	4	2	1	0	0
988174a6294	20	27	27	0	1	1	0
b21056d63a8	20	30	17	13	1	0	0
2b3d9e4ad07	05	584	76	508	11	0	1
7ff04c1f86d	07	1189	1189	0	5	4	0
d6fe7fb4c3f	07	67	67	0	1	0	0
7342fecaec2	07	26	17	9	1	0	0
4dcdfaf9291	15	100	62	38	10	6	0
0ea2f9e04b4	22	4	2	2	1	0	0
6301f18e62e	23	10	7	3	1	0	0
c2454a0d067	22	4	2	2	1	0	0
3b8e47755a1	21	13	11	2	1	0	0
45263085602	00	152	79	73	2	0	0
f65b36eec1e	23	83	11	72	1	0	0
4a615ddd9c2	23	16	16	0	1	0	0
2f9722cca0a	23	427	427	0	2	2	0
45f54024466	23	2	1	1	1	0	0
