Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
d6bae2cb950	19	16	9	7	2	0	0
45822da46a6	02	1	0	1	1	0	0
500c8f45f52	20	2082	130	1952	18	0	10
88cc688731e	01	1	1	0	1	0	0
da3356bb388	23	1920	1887	33	36	0	0
06a22e2ea13	00	1	0	1	1	0	0
8e2c014e438	00	36	23	13	2	0	0
b24cdb3d362	23	13	9	4	3	0	0
99c9d19184f	21	38	36	2	3	0	0
dd4b280d8cb	21	46	41	5	4	0	0
3e7f4b0f822	07	33	30	3	1	1	0
1f16a7b6e54	08	215	173	42	5	2	0
319580953d6	03	24	23	1	1	0	0
2095eea3da7	20	45	36	9	3	0	1
ec90ede1cf1	02	10	5	5	3	0	0
13324bf844d	22	31	19	12	3	0	0
09329e78332	21	319	191	128	12	6	5
f84d86b6605	23	1	1	0	1	0	0
5d89540b776	21	1	1	0	1	0	0
7335a4234aa	00	4	2	2	1	0	0
1a9286c6e9e	01	2	1	1	1	0	0
6545a6dc5dd	00	16	5	11	1	0	0
5496e67f83a	22	106	100	6	5	0	0
434ccd2e20b	01	2	1	1	1	0	0
24a69d22a0e	22	72	38	34	4	0	0
143aeb9ea71	23	197	157	40	14	0	0
cc922340683	23	5	4	1	1	0	0
3060266ff14	08	48	48	0	3	0	0
6d7aa65399e	01	5	4	1	1	0	0
56315494dd5	22	7	4	3	1	0	0
f35a396c54b	22	244	244	0	4	2	0
cc2ac1ccc77	23	244	0	244	4	0	2
0a5708c3e99	20	37	31	6	2	1	0
8498ee03bc2	00	84	59	25	1	0	0
69b73f9cf0d	16	40	26	14	2	0	0
5ca3dcd127b	19	19	15	4	2	0	0
971c3d90eb1	00	15	0	15	1	0	0
107b05772a0	23	1	0	1	1	0	0
99757cbeb22	05	10	8	2	1	0	0
f1647043830	23	49	49	0	1	0	0
af014c1a5ef	00	26	18	8	1	0	0
66293f6e98e	07	10	5	5	1	0	0
8fe5712477e	23	349	349	0	5	2	0
de0066c697e	23	1	0	1	1	0	0
6cb15403d34	20	11	0	11	1	0	0
79ce48d3f02	18	8	4	4	1	0	0
85357abba11	06	49	38	11	1	0	0
65e6ba9cce7	19	32	16	16	2	0	0
29e929de1eb	01	10	5	5	1	0	0
a3d7782c08a	18	13	1	12	1	0	0
ee048aa3abc	06	3	3	0	1	0	0
bce41fac945	09	973	126	847	9	0	3
779c93c5232	22	78	57	21	3	0	1
19ff87a9db6	06	66	66	0	1	1	0
a6e0a91a70e	03	4	0	4	0	0	0
1c09cc1550a	01	6	6	0	1	0	0
925b467a4e6	20	9	8	1	1	0	0
187fe27a6e7	01	214	202	12	9	1	0
d7988669175	00	2	2	0	0	0	0
a58b6439de5	20	543	538	5	4	3	0
39d23378592	08	24	10	14	2	0	0
35a1421e967	23	512	500	12	10	4	0
b4ed3c19697	18	24	0	24	1	0	0
39e25528eb7	23	97	91	6	4	1	0
dff467d9825	23	659	50	609	18	0	2
6e435da7f90	20	5	3	2	1	0	0
6f82b9f482f	18	54	16	38	1	0	0
0b57fee3f85	01	116	58	58	2	1	1
f178f2ae3fc	00	333	292	41	13	0	0
052aaa4c4db	23	106	70	36	2	0	0
6aa7f6f7327	17	1346	903	443	44	0	0
0dcc43316fa	07	78	52	26	2	0	0
0c68604823e	19	12	12	0	1	0	0
5ad0140f487	08	91	87	4	2	1	0
9ea5a4c468f	00	7	6	1	1	0	0
e10bd5177f9	21	5	4	1	1	0	0
61be6844aae	22	10	9	1	2	0	0
5e803219d84	22	3	2	1	1	0	0
9be20afeb56	22	36	36	0	4	0	0
67b10f816c5	21	33	19	14	1	0	0
70a393ea9ab	21	9	8	1	2	0	0
35c1f682c10	20	67	61	6	3	0	0
14b20ffc300	08	156	156	0	1	1	0
c7771bc2ec7	09	32	23	9	3	0	0
c9f58cc5956	19	175	150	25	13	0	0
0a347559bf6	06	874	577	297	7	2	0
db3c4efd1d9	00	213	165	48	4	0	0
ff402535660	23	184	165	19	16	0	0
6c0c00a2052	09	4	4	0	1	0	0
f5e742b2644	09	21	21	0	1	0	0
6d00c089e36	22	9	4	5	1	0	0
de78922b12c	02	22	22	0	5	0	0
2c1025706bb	01	95	63	32	7	0	0
ab18d72b35e	02	1	0	1	1	0	0
95844451b66	22	9	9	0	3	0	0
