Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
f23c45f7f46	06	24	24	0	1	0	0
0fd1656d63e	23	5	5	0	1	0	0
fb645f75fb4	12	36	19	17	2	0	0
abd3f8a02ab	22	2	1	1	0	0	0
4be4b5f6f49	22	2	1	1	1	0	0
a7763d55e40	22	2	1	1	1	0	0
2b8a9a83582	21	2264	2259	5	5	8	0
a7e1efc5bd1	18	42	33	9	1	0	0
ce347124e6c	13	4	2	2	1	0	0
4e40e8804b8	23	6	3	3	1	0	0
0802326fc9a	21	20	12	8	1	0	0
5caf53a0539	20	39	38	1	3	0	0
14d1ab5a3e3	21	196	196	0	4	1	0
610faf713d9	07	4	2	2	0	0	0
c93bab141c0	21	77	55	22	0	0	0
5e7a8dc75ef	08	4	4	0	0	0	0
ef046bf4f64	18	8	4	4	0	0	0
ef046bf4f64	18	8	4	4	0	0	0
