Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
baebd30eeec	08	2	1	1	1	0	0
b037c16f55c	06	2	1	1	1	0	0
a848a3efbfe	06	61	59	2	2	1	0
e1c043f43a4	08	323	177	146	13	0	0
a337ac75843	08	73	73	0	2	1	0
b962ff35ddc	08	38	20	18	1	0	0
e6b6075024e	15	128	121	7	2	1	0
7aa5924dc6e	11	62	41	21	4	0	0
07c27e040eb	17	147	147	0	4	2	0
c744e925dfd	09	10	6	4	1	0	0
f8c335d0caf	13	212	207	5	5	2	0
3ebbdc6320a	15	49	37	12	0	0	0
5451ba3aa8f	15	103	101	2	2	1	0
6392eba3f9c	17	12	6	6	1	0	0
1001cf412c3	16	59	27	32	1	0	0
96fe50400dc	03	4	2	2	1	0	0
a6dbe0ff23a	11	6	3	3	1	0	0
f5a01d17643	10	2	1	1	1	0	0
f53d092a2a9	17	139	135	4	9	4	0
8a729270c14	15	6	3	3	3	0	0
52c2988f160	02	2	1	1	1	0	0
173f91c7918	06	29	29	0	1	0	0
cbcaeedba96	12	95	95	0	3	1	0
0e8a55d2a22	09	101	100	1	2	1	0
00aa8935d7f	14	75	51	24	4	0	0
ed744ecbfd7	05	2	0	2	0	0	0
7e2d799328b	04	2	1	1	1	0	0
6a72e525202	13	17	6	11	1	0	0
d2698d18227	15	66	66	0	1	1	0
cdec7e3ae50	07	41	27	14	1	0	0
d6191f593df	08	51	45	6	2	1	0
86a67f15a0f	16	149	89	60	1	0	0
68cc173c6d2	10	87	77	10	3	1	0
19a855382c5	04	130	129	1	6	1	0
a09b747f302	08	6	4	2	2	0	0
1b55010a04b	08	7	4	3	1	0	0
97974825681	05	157	98	59	1	0	0
530082932d8	08	2	1	1	1	0	0
4cdf9d41586	09	48	41	7	1	0	0
49ac083dc18	09	78	78	0	1	1	0
b93a7cc99e0	06	4	2	2	1	0	0
244675cab19	14	2	2	0	1	0	0
e7f64a7d412	11	37	37	0	1	0	0
389e2a07e67	16	46	44	2	2	0	0
6139459d45f	15	41	37	4	2	0	0
98b64422bbc	12	458	240	218	1	0	0
526c54c9790	02	3	3	0	2	0	0
fdbfc9ceb73	06	67	58	9	2	1	0
3e853e627ed	09	24	24	0	2	0	0
c28f20f8804	16	27	3	24	1	0	0
28a908471d9	16	31	11	20	2	0	0
96ede8cc9b9	07	12	10	2	2	0	0
6f606838025	11	134	113	21	4	2	0
43cdbec3be4	16	26	9	17	1	0	0
485d5b5dff4	18	153	152	1	4	0	0
509a676128a	15	26	24	2	1	0	0
1adfd48448e	15	1	1	0	1	0	0
4cf931db173	07	103	103	0	2	1	0
8293bb8a327	06	303	158	145	26	0	0
4d186f270fa	14	2	1	1	1	0	0
d1a26284991	08	99	78	21	1	0	0
d439c092c20	06	18	15	3	3	0	0
bbb38b89184	06	5	3	2	1	0	0
ae77b4d5531	14	30	30	0	1	0	0
d3d8f1b972e	13	8	6	2	2	0	0
c72223e2a9a	18	19	19	0	2	0	0
bffb758243c	15	3	3	0	1	0	0
62aaf56d1bf	14	41	41	0	2	1	0
8b3ba47f88e	14	41	41	0	2	1	0
d32971a8cbc	06	34	25	9	2	0	0
50e147bd03a	17	155	122	33	3	0	0
3eb246485a5	05	13	2	11	3	0	0
691497babe6	15	5	4	1	1	0	0
4662ace9165	05	8	4	4	4	0	0
e8bc80cf152	00	8	4	4	1	0	0
8caf7fdb05b	16	90	90	0	2	2	0
a3e3ad40b1f	15	94	92	2	2	1	0
5208abe7237	15	45	43	2	2	0	0
5f97c9a0058	09	47	45	2	2	0	0
128d1bab2a1	15	2	1	1	1	0	0
701ae3c995a	15	2	1	1	1	0	0
d05afa50e69	17	3	3	0	1	0	0
7e8735b3fe6	07	23	21	2	1	0	0
87b6dc21c8c	13	43	29	14	2	0	0
d38fac2230e	06	26	16	10	1	0	0
8faf9411094	19	2	1	1	1	0	0
04c91698929	19	2	1	1	1	0	0
c60cdcda4e3	15	49	34	15	3	0	0
bcf3c7d31c5	07	10	5	5	1	0	0
3e2abd12d35	06	26	16	10	1	0	0
38a0145869d	07	10	5	5	1	0	0
432d54900e8	07	15	0	15	1	0	0
6c121edc600	14	66	57	9	4	1	0
d6ec8f668e3	16	42	41	1	2	1	0
d4f82ea5907	04	8	7	1	2	0	0
80c2fe9456a	06	35	32	3	2	1	0
56aa2fd4c3d	04	15	14	1	1	0	0
fcc04e67c87	06	7	6	1	2	0	0
1343ee8d54f	07	12	10	2	2	0	0
74d94b0dd1d	16	3	1	2	1	0	0
9533e879f0d	16	15	14	1	2	0	0
682b66c0c1d	13	2	1	1	1	0	0
ca028f4b37d	13	9	2	7	1	0	0
5ccdff48f3c	19	5	4	1	1	0	0
414fa4abae9	16	26	14	12	1	0	0
113b1e6e0cb	16	31	29	2	2	1	0
4e047d32b0a	17	15	15	0	1	0	0
db6ea109483	16	4	2	2	2	0	0
07426ef29c2	16	5	5	0	1	0	0
452df69964d	18	7	6	1	1	0	0
4e7c37b87c0	15	35	34	1	2	1	0
0a51a6d3ac0	03	38	38	0	3	2	0
45c0faf3996	11	4	2	2	1	0	0
72ad2c94df3	06	113	88	25	3	1	0
1f53cfdeae5	14	63	33	30	1	0	0
c9a4ec9c639	11	136	86	50	3	0	1
fbb0ee6f24c	14	74	44	30	2	0	0
016afe21aeb	05	49	37	12	2	0	0
7f404e3509e	15	112	109	3	3	0	0
37f0eb8df31	11	112	3	109	3	0	0
6b9425fe378	15	112	109	3	3	0	0
752ac320ae4	05	73	70	3	3	1	0
72bc4dcda4c	07	14	12	2	2	0	0
bc30c90af65	17	12	0	12	1	0	0
d7825b3c1de	04	2	2	0	2	0	0
0742f5629ce	13	37	19	18	1	0	0
5f9ffa17b17	01	54	53	1	2	1	0
9f3c639a9cf	14	24	13	11	3	0	0
40c4beeb57a	13	141	100	41	2	0	0
ceb51ddaa18	03	90	77	13	2	0	0
ebbd4039bce	14	21	18	3	3	0	0
03077db45de	15	46	46	0	1	1	0
cd5d2473a46	19	52	50	2	2	1	0
63431796f4c	19	52	50	2	2	1	0
ae762b620e9	14	3	3	0	1	0	0
2f5e0841477	14	5	0	5	1	0	0
7ae0d473a6b	09	51	34	17	1	0	0
ef50bd2e541	17	11	0	11	1	0	0
b19b8836c3b	01	70	68	2	3	1	0
2f759a7090a	17	17	12	5	1	0	0
c2dc673eb5a	17	92	90	2	2	1	0
a2cd31cbf11	10	28	23	5	3	0	0
0f0af55a0aa	11	62	61	1	2	1	0
3fd13c6426b	15	10	8	2	2	0	0
a6f3451e254	04	3	1	2	1	0	0
827180097c4	14	82	42	40	1	0	0
93298afc4e2	08	21	21	0	1	0	0
3df7c90c305	05	73	72	1	2	1	0
35fe3eb5c77	12	76	73	3	2	1	0
534df2f8d20	08	66	56	10	2	1	0
7dffbaf2ced	05	46	35	11	3	0	0
08a91acd76c	02	264	225	39	3	1	0
c1a63a9e905	01	69	67	2	3	1	0
70033bd9609	01	190	150	40	3	1	0
9ef3c6238b0	06	2	1	1	0	0	0
57653added9	05	11	6	5	3	0	0
dd9593ccc4d	11	57	37	20	3	0	0
72ad2c94df3	06	113	88	25	3	1	0
1f53cfdeae5	14	63	33	30	1	0	0
c9a4ec9c639	11	136	86	50	3	0	1
fbb0ee6f24c	14	74	44	30	2	0	0
016afe21aeb	05	49	37	12	2	0	0
7f404e3509e	15	112	109	3	3	0	0
37f0eb8df31	11	112	3	109	3	0	0
6b9425fe378	15	112	109	3	3	0	0
752ac320ae4	05	73	70	3	3	1	0
72bc4dcda4c	07	14	12	2	2	0	0
bc30c90af65	17	12	0	12	1	0	0
d7825b3c1de	04	2	2	0	2	0	0
0742f5629ce	13	37	19	18	1	0	0
5f9ffa17b17	01	54	53	1	2	1	0
9f3c639a9cf	14	24	13	11	3	0	0
40c4beeb57a	13	141	100	41	2	0	0
ceb51ddaa18	03	90	77	13	2	0	0
ebbd4039bce	14	21	18	3	3	0	0
03077db45de	15	46	46	0	1	1	0
cd5d2473a46	19	52	50	2	2	1	0
63431796f4c	19	52	50	2	2	1	0
ae762b620e9	14	3	3	0	1	0	0
2f5e0841477	14	5	0	5	1	0	0
7ae0d473a6b	09	51	34	17	1	0	0
ef50bd2e541	17	11	0	11	1	0	0
b19b8836c3b	01	70	68	2	3	1	0
2f759a7090a	17	17	12	5	1	0	0
c2dc673eb5a	17	92	90	2	2	1	0
a2cd31cbf11	10	28	23	5	3	0	0
0f0af55a0aa	11	62	61	1	2	1	0
3fd13c6426b	15	10	8	2	2	0	0
