Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
5c7532e5b3f	22	21	19	2	2	0	0
89e894b17ab	00	2	1	1	1	0	0
9023b0b3a28	00	14	14	0	1	1	0
3f862cf1795	23	23	23	0	1	1	0
481c17504db	14	83	83	0	1	1	0
6bd0bcd5af1	16	1	1	0	1	0	0
fc61134b1ae	19	64	32	32	10	0	0
b4afe605f4e	14	40	0	40	1	0	0
7ee29d1d5ba	09	7	5	2	1	0	0
8f1ba251dd8	22	61	61	0	2	2	0
683c1c6583d	14	15	15	0	1	0	0
365fdbfc643	11	6	6	0	1	0	0
f4f037aa648	11	2	1	1	1	0	0
8c8d5187236	11	5	3	2	1	0	0
fb93ab41253	19	7	7	0	1	0	0
d0552949b97	19	2	1	1	1	0	0
8d70cc607ca	13	3	1	2	1	0	0
94963ab39ad	08	62	62	0	1	1	0
e150bc4f2b7	22	3	2	1	1	0	0
962a9e808ce	22	3	2	1	1	0	0
6a11f3edf42	02	6	4	2	2	0	0
3db2e034c44	09	3	2	1	1	0	0
c96df0e37ae	21	6	0	6	1	0	0
77c18d1e1b4	13	15	14	1	2	0	0
f065c87bcf6	09	2	0	2	1	0	0
9a356562101	18	46	46	0	1	1	0
0113f5a72db	18	40	40	0	1	1	0
27a937bcf82	02	8	6	2	1	0	0
b73ec84ce1e	02	43	43	0	1	1	0
da908364a8e	19	46	22	24	3	0	0
c6c6f98f1c3	17	53	20	33	3	0	0
b0c15412270	20	8	2	6	1	0	0
1109c8fc4ec	15	4	1	3	1	0	0
c3a9733ac14	15	2	1	1	1	0	0
977e211421f	18	2	1	1	1	0	0
3bc3af0276f	03	33	0	33	1	0	0
ff512634acb	19	2	1	1	1	0	0
e10ed097cb3	01	111	79	32	7	1	0
d5047f5fe66	16	4	2	2	1	0	0
df62005ece4	12	19	10	9	1	0	0
b073989e17b	22	2	1	1	0	0	0
4d49469d0df	22	2	1	1	1	0	0
0321adbcf46	00	10	8	2	1	0	0
39484f49ef6	15	50	29	21	14	0	0
df0edf5fe69	15	4	3	1	1	0	0
4b4d0597911	15	45	26	19	1	0	0
6a11f3edf42	02	6	4	2	2	0	0
3db2e034c44	09	3	2	1	1	0	0
c96df0e37ae	21	6	0	6	1	0	0
77c18d1e1b4	13	15	14	1	2	0	0
f065c87bcf6	09	2	0	2	1	0	0
9a356562101	18	46	46	0	1	1	0
0113f5a72db	18	40	40	0	1	1	0
27a937bcf82	02	8	6	2	1	0	0
b73ec84ce1e	02	43	43	0	1	1	0
da908364a8e	19	46	22	24	3	0	0
c6c6f98f1c3	17	53	20	33	3	0	0
b0c15412270	20	8	2	6	1	0	0
1109c8fc4ec	15	4	1	3	1	0	0
c3a9733ac14	15	2	1	1	1	0	0
977e211421f	18	2	1	1	1	0	0
3bc3af0276f	03	33	0	33	1	0	0
ff512634acb	19	2	1	1	1	0	0
e10ed097cb3	01	111	79	32	7	1	0
d5047f5fe66	16	4	2	2	1	0	0
df62005ece4	12	19	10	9	1	0	0
b073989e17b	22	2	1	1	0	0	0
4d49469d0df	22	2	1	1	1	0	0
0321adbcf46	00	10	8	2	1	0	0
39484f49ef6	15	50	29	21	14	0	0
df0edf5fe69	15	4	3	1	1	0	0
4b4d0597911	15	45	26	19	1	0	0
