Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
ab969bfaf85	06	65	65	0	1	1	0
f7c53341953	01	12	6	6	2	0	0
98341daee2c	21	11	9	2	1	0	0
4e50197e533	20	797	546	251	8	3	0
02ed0ec93bc	03	13	10	3	1	0	0
a2f70da4c9b	19	121	106	15	4	0	0
cbd1f1481c9	06	28	14	14	1	0	0
cec775a0de4	06	38	18	20	1	0	0
09af242c898	23	108	72	36	2	0	0
cd4f94e71ae	07	68	68	0	1	1	0
307e70afaf4	07	1	0	1	1	0	0
1f0963558c2	20	6	6	0	1	0	0
eb4951d499a	04	20	16	4	2	2	0
d1b352e4b32	07	46	26	20	1	0	0
2374e557e30	07	469	321	148	1	0	0
39464b498fc	00	141	116	25	2	0	0
afe3c1cdea8	21	48	32	16	1	0	0
b7441040f87	23	329	241	88	2	1	0
715e119eea0	06	2	1	1	1	0	0
631e5bf5cb3	06	173	144	29	1	0	0
7c77a56b4af	07	352	243	109	1	0	0
