Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
855f46677c1	21	9	9	0	1	0	0
ec11525d33f	21	3	3	0	1	0	0
3f987cd925d	21	4	3	1	1	0	0
b204006105e	02	6	5	1	2	0	0
4fb2ac5be1e	19	13	13	0	1	0	0
ebefe77bc09	06	10	5	5	1	0	0
d4379fcee3b	18	14	9	5	3	0	0
2dbb470ea10	04	16	7	9	1	0	0
3524f41a271	18	56	56	0	1	0	0
a6a04fb1ec8	18	67	67	0	1	1	0
b8f3e18a5d3	18	4	4	0	1	0	0
58cb0fa639e	21	4	3	1	1	0	0
bdb9d09aefb	20	2	1	1	1	0	0
95d530f2b4f	20	2	1	1	1	0	0
cafcc7e67a4	20	35	35	0	1	1	0
44574bc39b9	06	7	2	5	1	0	0
cf24f561a34	00	6	5	1	1	0	0
0c91a835ff7	17	44	35	9	2	1	0
8ec31a3362d	17	2	1	1	1	0	0
54b409d6508	15	44	35	9	2	1	0
72824d8d2da	15	1	1	0	1	0	0
b1be5409bd8	03	13	13	0	2	0	0
a9a252fda90	21	14	11	3	2	0	0
511f80b3c8f	09	1	1	0	1	0	0
9b1ff070e6d	09	50	37	13	3	1	0
6d15b163b09	20	15	8	7	2	0	0
69b8279d4bb	20	3	2	1	1	0	0
9f23fe11418	22	59	57	2	2	1	0
f3189ace6b5	22	42	0	42	1	0	0
0a5d8ca197c	22	18	12	6	3	0	0
d6bbb19f1d1	22	53	43	10	3	0	0
d307bebec4a	21	47	47	0	1	1	0
47abdd9c43a	19	47	47	0	1	1	0
0a01a42e872	02	51	50	1	2	1	0
e746bbdc2b7	06	2	0	2	1	0	0
8874a317484	02	84	84	0	2	0	0
9bc53d887ad	17	7	4	3	2	0	0
5bda2bed375	20	4	2	2	1	0	0
afabdf0e159	20	12	6	6	1	0	0
f31037ddfef	23	55	54	1	2	1	0
7196742852c	01	63	58	5	2	1	0
54fbb1da963	15	50	49	1	2	1	0
ed5324687ef	18	2	1	1	1	0	0
48e159faf2f	02	8	1	7	1	0	0
567c72b8c5f	03	6	3	3	2	0	0
99b737bd60a	16	32	19	13	0	0	0
55ea7ccf704	20	2	1	1	1	0	0
085f9d636b2	20	17	17	0	2	0	0
598b5e4593b	02	2	1	1	1	0	0
3288bc95323	22	2	1	1	1	0	0
66280de133a	03	25	24	1	3	0	0
da8b0eefde1	02	18	15	3	3	0	0
4d809e297f9	20	1	1	0	1	0	0
dd6432dcf03	20	1	1	0	1	0	0
50c88e0ff24	20	10	9	1	1	0	0
4b61522f16d	19	80	80	0	3	3	0
1ba39226b22	18	4	3	1	1	0	0
a9c4a20331d	22	46	44	2	2	0	0
bac537b186b	20	6	3	3	1	0	0
b9167742559	01	16	11	5	0	0	0
4fa3fd1cc0e	00	2	1	1	0	0	0
837df70b757	19	34	33	1	2	1	0
5e4e87ade5a	20	18	18	0	4	0	0
3c91a7ae10f	22	200	103	97	2	0	0
e95e095289c	22	14	7	7	2	0	0
cca15e8e33e	21	2	2	0	1	0	0
b1e78cef097	23	30	15	15	2	0	0
4eb5399bb28	20	14	13	1	3	0	0
07774e6b957	01	63	43	20	3	0	0
7611c7cd258	18	6	1	5	1	0	0
59c166cfba3	01	30	18	12	1	0	0
f826b3269d6	23	13	13	0	1	0	0
3b7312d23af	18	6	5	1	2	0	0
f1722a280c0	05	5	5	0	2	0	0
0f2ed2bc2c1	18	71	71	0	2	1	0
4a2670740c0	01	7	7	0	2	0	0
1d52968d1db	19	4	2	2	1	0	0
608898c15b9	18	8	8	0	0	0	0
dba47aefa56	18	2	1	1	1	0	0
a4ef01df07c	23	28	28	0	3	0	0
fb383a0ad08	22	15	13	2	2	0	0
355c1484273	21	8	8	0	1	0	0
606a9339891	21	8	8	0	1	0	0
2d0c1da975d	23	2	1	1	1	0	0
0285dae26a8	20	56	50	6	2	1	0
025f53c306d	20	145	128	17	2	1	0
7142b260c6c	18	17	10	7	1	0	0
f8fd9aca8bd	18	6	5	1	1	0	0
be3a77bd428	18	1	0	1	1	0	0
f9df96b9508	01	8	4	4	1	0	0
00fa8864b4b	21	66	0	66	1	0	2
64ac54a64d6	23	29	21	8	1	1	0
093be8b16bb	20	2	1	1	1	0	0
cc6034ac862	18	8	8	0	1	0	0
dc818135a57	22	54	28	26	0	0	0
8b11f29cf38	19	8	8	0	0	0	0
dc9ae01ef7a	19	2	1	1	0	0	0
eadc2ec5c8d	19	4	3	1	0	0	0
bd10bf44181	19	4	3	1	0	0	0
42aac41b939	19	16	16	0	0	0	0
7a9db6cfb13	17	10	9	1	1	0	0
6bdd4d0205a	18	9	5	4	1	0	0
3254caceefd	07	5	3	2	1	0	0
57f785151aa	07	2	1	1	1	0	0
9eddaebb79f	17	6	2	4	1	0	0
713b9249e1e	22	11	2	9	2	0	0
d3d83d7b909	02	51	51	0	2	1	0
8a9e8d60d2e	02	7	3	4	1	0	0
9126dd2d903	18	5	4	1	2	0	0
032fc42e64f	23	6	2	4	1	0	0
05fe70b582c	00	11	10	1	1	0	0
c752f6c0138	00	1	1	0	1	1	0
6a8b5b36b45	22	547	537	10	6	6	0
c69d7f1a6cb	07	1	1	0	0	0	0
a608f65b245	22	2	1	1	1	0	0
3f69c711579	22	5	5	0	1	0	0
2b9967fbcc5	22	15	9	6	1	0	0
38542f76a97	19	56	9	47	1	0	0
b894521bd2e	20	7	3	4	2	0	0
f4403f90f84	01	2	1	1	1	0	0
f1f5de1c8d2	23	18	16	2	1	0	0
248f552ab45	01	46	41	5	3	1	0
f405daa9226	03	10	10	0	2	0	0
98b4596a46e	03	2	1	1	1	0	0
6292df659f0	08	1	1	0	1	0	0
ef3a874f41b	08	6	5	1	1	0	0
0b5235e68c7	08	25	15	10	1	0	0
e16021340dd	20	2	1	1	1	0	0
e621250116e	18	174	87	87	2	1	1
e28eb6de30a	18	31	19	12	1	0	0
327286dbcdd	18	8	3	5	1	0	0
c5d35aca338	18	12	6	6	1	0	0
9c3559f0adc	18	117	104	13	2	1	0
86bd9b6e703	18	56	29	27	1	0	0
9b7a6c52382	18	2	1	1	0	0	0
fdeeabba784	18	4	2	2	0	0	0
7b71fd0c68a	21	2	1	1	1	0	0
70a5b53e03b	21	1	1	0	1	0	0
78eb174ea2d	21	39	31	8	2	0	0
8652c11031c	20	6	3	3	3	0	0
8752ceef13a	20	8	8	0	1	0	0
ca8dea83a9e	19	2	1	1	1	0	0
aab7cb7dfed	19	16	8	8	1	0	0
b6d6a54f805	23	1	1	0	1	0	0
0965d2d9f61	01	2	1	1	1	0	0
304f1fcf86f	20	5	3	2	2	0	0
48bbdde66ba	04	1	0	1	1	0	0
208b2307440	01	29	22	7	5	0	0
a33d1c959a4	00	66	66	0	1	1	0
b187e96ec91	00	18	13	5	2	0	0
228ddddc1ce	00	3	2	1	1	0	0
e7065eaa934	00	4	2	2	1	0	0
f41901cdf6e	19	97	96	1	5	1	0
698e795a5ff	02	19	12	7	2	0	0
aad12d0b265	22	1088	658	430	8	0	0
feaa8a41c75	07	58	56	2	3	1	0
8517089b3e1	22	86	8	78	1	0	0
70e68893fe2	19	2	1	1	0	0	0
7cb0f5f84a2	04	16	5	11	1	0	0
11d88237916	00	87	87	0	3	1	0
95fd517431c	15	6	3	3	1	0	0
bea2e15864f	01	2	1	1	1	0	0
928ea564d16	23	11	9	2	2	0	0
dc752327bbd	22	47	35	12	1	0	0
35043ad8ac7	23	7	4	3	1	0	0
884a209ccfd	18	18	16	2	1	0	0
f9da776b332	18	3	3	0	1	0	0
f214758dd1e	01	20	11	9	1	0	0
6b5a34cdf30	00	3	1	2	1	0	0
b7ddd301817	00	6	3	3	1	0	0
659d449460d	00	5	4	1	1	0	0
4f63f9f3278	00	5	5	0	1	0	0
109b16d4889	00	2	1	1	1	0	0
9701f1c4b27	18	2	2	0	1	0	0
36761b20550	20	7	5	2	3	0	0
07c886f9444	16	92	92	0	3	1	0
39ce94276ae	20	6	3	3	1	0	0
1520c7bf5b4	20	4	3	1	0	0	0
ba0892ba910	21	4	2	2	0	0	0
aa35564ca1c	19	6	2	4	1	0	0
3f1f2d14972	21	12	11	1	0	0	0
3c68c85f182	02	6	6	0	1	0	0
a84adad0785	22	1	1	0	1	0	0
e60b18bbdf1	22	14	12	2	0	0	0
19133cac029	20	48	31	17	0	0	0
028043dd024	20	1	1	0	0	0	0
546870edd87	20	8	8	0	1	0	0
af4a96ce6ee	20	4	2	2	0	0	0
07872870213	20	3	2	1	0	0	0
a118f217288	00	16	15	1	2	0	0
71e975669cd	19	16	2	14	1	0	0
d4ccdeaf00d	03	3	3	0	1	0	0
5e1471c806a	23	4	4	0	1	0	0
f2ba4cef2af	22	3	3	0	1	0	0
9ff86a2848c	22	4	4	0	1	0	0
6d15b163b09	20	15	8	7	2	0	0
69b8279d4bb	20	3	2	1	1	0	0
9f23fe11418	22	59	57	2	2	1	0
f3189ace6b5	22	42	0	42	1	0	0
0a5d8ca197c	22	18	12	6	3	0	0
d6bbb19f1d1	22	53	43	10	3	0	0
d307bebec4a	21	47	47	0	1	1	0
47abdd9c43a	19	47	47	0	1	1	0
0a01a42e872	02	51	50	1	2	1	0
e746bbdc2b7	06	2	0	2	1	0	0
