Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
a993d22c0f5	12	1	1	0	1	0	0
e0f10ecfd9a	06	221	212	9	3	2	0
3c733c57b79	03	9	9	0	1	0	0
bddea120268	05	9	4	5	0	0	0
710845cfd36	05	15	13	2	1	0	0
33f74bbd900	23	50316	46491	3825	190	172	4
f6877f37b21	07	22	13	9	2	0	0
0dfedb7127a	09	179	178	1	10	5	0
bddea120268	05	9	4	5	0	0	0
710845cfd36	05	15	13	2	1	0	0
33f74bbd900	23	50316	46491	3825	190	172	4
f6877f37b21	07	22	13	9	2	0	0
0dfedb7127a	09	179	178	1	10	5	0
2bb48673126	14	68	68	0	2	1	0
ab7a3d098dd	16	9	9	0	2	0	0
401cef797df	02	7	4	3	1	0	0
cd372510bb5	02	103	78	25	2	0	0
1211946a8c8	02	4	2	2	1	0	0
9b363b022f2	01	53	52	1	2	1	0
2b6c561040c	16	1	0	1	1	0	0
829f96badad	16	7	3	4	1	0	0
8bf0c15a5b2	01	57	57	0	2	1	0
1c8a5269c5a	08	33	27	6	1	0	0
11a5119e72f	08	5	5	0	1	0	0
f36bfd1590f	07	2	1	1	1	0	0
148f5e65123	05	5	3	2	0	0	0
a1ba29d110f	06	21	15	6	1	0	0
1bcf29ef333	02	3	3	0	1	0	0
f347077e786	15	99	70	29	3	1	0
5b37da2ac0a	09	6	3	3	1	0	0
76104f3414f	17	8	4	4	1	0	0
e7e34ddb66f	05	22	20	2	1	0	0
60ff789618b	01	37	11	26	0	0	0
6d98524609d	00	6584	3174	3410	40	9	10
e3a2dd1b133	07	2	1	1	1	0	0
4eb2804db9e	06	2	1	1	1	0	0
208d1715a78	10	6	3	3	1	0	0
f721d02c8a3	06	1	0	1	1	0	0
cc8cfb145a2	10	8	4	4	1	0	0
94f1feeb598	00	73	72	1	3	1	0
0d131423324	07	87	76	11	4	1	0
26b6da134ff	08	4	2	2	2	0	0
238e12af221	08	1	1	0	1	0	0
b521ff3b4f8	04	2	2	0	1	0	0
e7792e5d46d	05	86	86	0	1	1	0
45159870584	09	2	1	1	1	0	0
75face6139b	06	2	1	1	1	0	0
8727e5f2bec	06	53	53	0	1	1	0
2cf5f040a58	04	11	11	0	1	0	0
e1199fa335e	02	2	1	1	1	0	0
891f9defeb9	01	1	0	1	1	0	0
534264d2091	14	12	7	5	1	0	0
d2fba2bf35e	02	2	1	1	1	0	0
59c3923672d	12	73	71	2	3	2	0
d6f0ecc622f	03	2	1	1	0	0	0
b6595c4d60c	03	1	0	1	0	0	0
18acdff8d3e	16	3	2	1	1	0	0
82ad1f87fa9	11	27	20	7	1	0	0
c1fcb1db996	12	2	1	1	1	0	0
491ec171ec6	11	2	1	1	1	0	0
58e5d69250d	10	4	3	1	1	0	0
680d75af34f	09	4	3	1	1	0	0
2156e5eca10	15	10	8	2	1	0	0
55c21970fd7	12	4	1	3	1	0	0
