Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
422d3c93bc7	18	193	66	127	3	0	0
56f200af5d8	22	13	12	1	2	0	0
a9d8cac4b05	15	4	2	2	1	0	0
e7c4f8cdaa5	13	26	25	1	2	0	0
b64a521d665	23	6	3	3	1	0	0
99a5d1e2939	22	1	1	0	1	0	0
ac2404283e4	22	1	1	0	1	0	0
7a706e4206b	15	58	29	29	1	0	0
6eb0b6ac277	15	11	6	5	1	0	0
760fb17bbf5	15	27	17	10	1	0	0
792c7caf405	15	59	39	20	2	0	0
4e3c5d88b37	15	26	16	10	2	0	0
94cd83ef341	20	36	32	4	2	0	0
51bd1b4483f	18	68	63	5	2	1	0
187f191558e	17	514	302	212	6	3	2
4b48042c175	20	20	14	6	1	0	0
c9dde726c60	18	34	34	0	1	1	0
de6d663a67d	01	3	2	1	1	0	0
a0134ff0f8a	17	17	15	2	1	0	0
78d33f4fd5a	15	11	6	5	1	0	0
8f0b4e9111c	01	666	527	139	4	2	0
2420f07e947	00	77	71	6	2	1	0
d9882395e2c	16	4	2	2	1	0	0
