Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
5501a5a641e	01	1	1	0	1	0	0
97977640bd3	22	11	10	1	1	0	0
1128c0bf672	21	333	333	0	2	1	0
6ea61acf29f	16	1	0	1	1	0	0
1ce4684a275	06	93	70	23	2	0	0
a30daa7b6c5	22	2	2	0	0	0	0
2d348bb985d	22	2	2	0	0	0	0
f9cc35fa571	22	2	1	1	1	0	0
5a00d9d50f7	22	2	1	1	1	0	0
c8f9728de75	21	92	60	32	6	1	0
92fb664bfce	06	36	32	4	3	0	0
9a701b0a703	06	36	32	4	3	0	0
870aa3d97f6	07	17	12	5	4	0	0
ace2be8aa60	07	190	98	92	4	0	0
82daa46e26d	06	7	3	4	3	0	0
4f7f43762d3	06	7	3	4	3	0	0
e65c27062f3	06	6	2	4	3	0	0
e51aef7f3c0	06	7	3	4	3	0	0
208290b524c	06	8	3	5	3	0	0
e5bb8abc9d3	06	11	4	7	3	0	0
8dbfe5ea8fc	06	158	58	100	1	0	0
30dadfc033b	06	110	83	27	6	2	0
367b87d26db	08	48	42	6	1	0	0
49066042a2d	07	30	30	0	1	0	0
480164f923a	06	73	43	30	3	2	1
02da5ed4a1f	09	425	425	0	4	2	0
