Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
e5a0fbe500f	14	16555	8309	8246	60	30	30
899fffa395a	22	20400	12128	8272	64	33	30
78fac9b8637	15	10	10	0	2	0	0
50443f08e0f	15	10	10	0	2	0	0
cf909e8725f	16	22	18	4	1	0	0
758f12f34c2	23	205	201	4	3	2	0
8d5e05668bf	21	97	97	0	2	1	0
fd3cd755d15	00	154	107	47	3	0	0
e07f5682308	00	1	1	0	1	0	0
67f7fe5e5c2	11	6	6	0	0	0	0
374300ca8d1	17	31	21	10	3	0	0
5c602b750a6	01	475	358	117	2	0	0
20d5963fae3	02	149	149	0	3	1	0
b57d946184e	00	161	161	0	4	1	0
860fcf23f40	01	4	2	2	1	0	0
3bb7ad6fea4	16	62	41	21	2	0	0
6eb8bbc6400	22	2	2	0	0	0	0
752da03eb03	21	34	20	14	0	0	0
87077e03cce	21	7	5	2	0	0	0
