Commit ID 	 Time 	 LOCChanged 	 LOCADD 	 LOCRem 	 Totalfiles 	 Filesadd 	 Filesrem 
421b6e89aa5	22	2	1	1	1	0	0
25118b0a260	20	2	1	1	1	0	0
94db871ecfd	22	2	1	1	1	0	0
a8692a01547	20	2	1	1	1	0	0
b267dc458d7	22	23	17	6	3	0	0
707b1dee846	05	188	125	63	11	4	2
eab8bebcedd	20	4	4	0	1	0	0
2c185a9dfd3	00	52	48	4	2	0	0
74954ce7d8b	06	87	74	13	7	2	0
7a272d92e3e	16	2	2	0	1	0	0
cf78ce59b3c	23	59	50	9	11	1	0
cf7b680db9f	01	2	1	1	1	0	0
3313ff1d1b3	23	61	61	0	3	0	0
9d49c93cb54	02	21	16	5	2	0	0
de2686c3e10	23	8	3	5	2	0	0
8bedde464fc	23	15	13	2	1	0	0
6a594fed967	01	2	2	0	1	0	0
54b1f8028ac	21	2	1	1	1	0	0
ae8262a176c	21	44	40	4	4	1	0
e03fae1447b	01	32	18	14	3	0	0
ea3b78cd49a	17	4	3	1	1	0	0
a4c53533f69	21	4	2	2	1	0	0
6681024a432	23	70	44	26	1	0	0
0d58353d662	17	4	3	1	1	0	0
b38f4712c41	21	4	2	2	1	0	0
4b555091e42	23	70	44	26	1	0	0
e681abe5cbc	18	37	35	2	4	0	0
cf1811a6d3f	07	10	9	1	2	0	0
b46f10a11fb	06	40	32	8	4	0	0
6285fac2327	16	2	1	1	1	0	0
7fcfb7b981f	17	2	2	0	1	0	0
14e6b07f635	18	22	21	1	4	1	0
342b8b2ed21	06	12	6	6	1	0	0
a530c23d96d	06	77	77	0	2	2	0
446beebd79d	16	777	776	1	21	19	0
1e932ea9306	21	58	54	4	2	1	0
c19897b76a7	22	47	34	13	1	0	0
78da9cb052a	22	47	34	13	1	0	0
f61b110cf6d	21	22	18	4	1	0	0
